DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2/P6 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES,P7 - Rede Pluvial (Trimestral)
2013-01-09,6.1,6.5,6.7,6.8,6.9,6.9,6.4,6.8,x,,
2013-02-14,7.1,6.8,6.2,6.6,6.7,7.1,7.0,7.4,x,,
2013-03-06,7.4,7.8,7.7,7.9,7.9,8.1,8.8,9.0,x,,
2013-04-03,7.2,7.4,6.4,7.4,7.2,7.4,7.4,8.5,x,,
2013-05-08,6.9,7.2,6.8,7.0,7.1,7.3,7.0,7.6,x,,
2013-06-05,7.1,7.2,6.9,7.2,7.3,7.3,7.0,7.3,x,,
2013-07-03,6.9,7.1,7.5,7.5,7.4,7.3,7.2,7.5,x,,
2013-08-07,7.1,7.2,7.5,7.5,7.5,7.3,7.3,7.4,x,,
2013-09-04,7.0,7.3,7.6,7.6,7.6,7.3,7.0,7.3,x,,
2013-10-02,6.9,7.4,7.7,7.8,7.8,7.1,7.0,7.7,x,,
2013-11-06,,,,,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados.",
2013-12-04,6.8,7.5,7.6,7.7,7.7,7.0,7.0,8.7,,,
2014-01-08,6.8,7.3,7.5,7.6,7.6,7.0,7.2,9.9,x,,
2014-02-05,6.9,7.3,7.3,7.4,7.5,7.0,7.1,9.8,x,,
2014-03-06,6.8,7.4,7.1,7.2,7.3,7.0,7.4,9.5,x,,
2014-04-02,7.2,7.5,7.4,7.5,7.6,7.3,7.6,9.2,x,,
2014-05-07,6.9,7.6,7.9,7.8,7.9,7.2,7.3,8.2,x,,
2014-06-04,7.2,7.5,7.8,7.8,8.0,7.3,7.2,8.4,x,,
2014-07-02,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-06,6.8,7.5,8.1,8.1,8.1,7.1,7.4,7.7,x,,
2014-09-03,7.0,7.4,7.7,7.7,7.8,7.1,7.0,9.3,x,Coleta realizada em 10/09/14,
2014-10-01,6.4,7.4,7.6,7.6,7.7,7.0,6.9,7.4,x,,
2014-11-05,7.0,7.2,7.4,7.5,7.5,6.9,6.7,7.4,x,,
2014-12-04,7.3,7.2,7.3,7.3,7.5,6.8,7.1,7.5,x,,
2014-01-08,6.8,7.3,7.5,7.6,7.6,7.0,7.2,9.9,x,,
2014-02-05,6.9,7.3,7.3,7.4,7.5,7.0,7.1,9.8,x,,
2014-03-06,6.8,7.4,7.1,7.2,7.3,7.0,7.4,9.5,x,,
2014-04-02,7.2,7.5,7.4,7.5,7.6,7.3,7.6,9.2,x,,
2014-05-07,6.9,7.6,7.9,7.8,7.9,7.2,7.3,8.2,x,,
2014-06-04,7.2,7.5,7.8,7.8,8.0,7.3,7.2,8.4,x,,
2014-07-02,,,,,,,,,,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. ,
2014-08-06,6.8,7.5,8.1,8.1,8.1,7.1,7.4,7.7,x,,
2014-09-03,7.0,7.4,7.7,7.7,7.8,7.1,7.0,9.3,x,Coleta realizada em 10/09/14,
2014-10-01,6.4,7.4,7.6,7.6,7.7,7.0,6.9,7.4,x,,
2014-11-05,7.0,7.2,7.4,7.5,7.5,6.9,6.7,7.4,x,,
2014-12-04,7.3,7.2,7.3,7.3,7.5,6.8,7.1,7.5,x,,
2015-01-07,6.7,7.1,7.2,7.3,7.4,6.5,6.7,8.9,x,,7.9
2015-02-04,7.1,7.4,7.4,7.5,7.5,7.1,7.0,9.0,x,,­
2015-03-06,6.9,,,,7.0,6.7,6.9,7.4,x,,
2015-04-01,6.7,,,,7.1,7.3,7.1,7.5,x,,7.1
2015-05-06,7.1,7.4,7.3,7.5,7.6,7.2,7.3,7.8,x,,
2015-06-03,6.9,,,,7.1,7.2,7.1,7.6,x,,
2015-07-01,7.0,,,,6.9,7.2,7.2,7.6,x,,7.5
2015-08-05,7.0,7.4,8.1,7.9,7.8,7.1,6.8,7.1,x,,
2015-09-03,6.7,7.3,7.6,7.6,7.7,7.1,7.1,7.2,x,,
2015-10-08,6.7,,,,6.9,7.0,7.0,7.1,x,,7.6
2015-11-04,6.6,7.4,7.8,7.8,7.8,6.9,7.1,6.8,x,,
2015-12-02,7.0,7.2,6.0,7.4,7.3,7.0,7.0,6.7,x,,
2015-01-07,6.7,7.1,7.2,7.3,7.4,6.5,6.7,8.9,x,,7.9
2015-02-04,7.1,7.4,7.4,7.5,7.5,7.1,7.0,9.0,x,,­
2015-03-06,6.9,,,,7.0,6.7,6.9,7.4,x,,
2015-04-01,6.7,,,,7.1,7.3,7.1,7.5,x,,7.1
2015-05-06,7.1,7.4,7.3,7.5,7.6,7.2,7.3,7.8,x,,
2015-06-03,6.9,,,,7.1,7.2,7.1,7.6,x,,
2015-07-01,7.0,,,,6.9,7.2,7.2,7.6,x,,7.5
2015-08-05,7.0,7.4,8.1,7.9,7.8,7.1,6.8,7.1,x,,
2015-09-03,6.7,7.3,7.6,7.6,7.7,7.1,7.1,7.2,x,,
2015-10-08,6.7,,,,6.9,7.0,7.0,7.1,x,,7.6
2015-11-04,6.6,7.4,7.8,7.8,7.8,6.9,7.1,6.8,x,,
2015-12-02,7.0,7.2,6.0,7.4,7.3,7.0,7.0,6.7,x,,
2016-01-06,6.4,7.4,7.7,7.8,7.8,7.0,6.8,9.5,,,7.6
2016-02-05,6.8,7.2,7.7,7.7,7.7,7.0,6.6,7.1,,,
2016-03-02,6.9,7.4,7.6,7.7,7.7,7.3,7.2,9.3,,,
2016-04-06,6.4,7.2,7.3,7.3,7.3,6.9,6.9,8.7,,,7.0
2016-05-04,7.3,,,,7.3,7.3,7.2,7.6,,"Pontos Pb, Pc e Pd não foram coletados pois o CBR está em manutenção. A saída foi coletada no P6.",
2016-06-01,7.1,7.4,8.4,8.4,8.4,7.3,7.4,7.3,,,
2016-07-06,7.0,7.1,7.5,7.4,7.4,7.3,7.3,7.5,,,5.4
2016-08-03,6.9,7.0,6.7,6.7,6.5,7.1,7.3,6.8,,,
2016-09-08,7.0,7.1,6.8,7.4,7.4,7.2,7.3,7.3,,,
2016-10-05,6.7,7.4,7.6,7.5,7.6,7.2,7.1,8.3,,,6.1
2016-11-03,7.0,7.2,7.3,7.3,7.2,7.2,7.5,8.2,,,
2016-12-07,6.6,6.9,6.3,6.2,6.1,7.1,7.4,9.9,,,
2016-01-06,6.4,7.4,7.7,7.8,7.8,7.0,6.8,9.5,,,7.6
2016-02-05,6.8,7.2,7.7,7.7,7.7,7.0,6.6,7.1,,,
2016-03-02,6.9,7.4,7.6,7.7,7.7,7.3,7.2,9.3,,,
2016-04-06,6.4,7.2,7.3,7.3,7.3,6.9,6.9,8.7,,,7.0
2016-05-04,7.3,,,,7.3,7.3,7.2,7.6,,"Pontos Pb, Pc e Pd não foram coletados pois o CBR está em manutenção. A saída foi coletada no P6.",
2016-06-01,7.1,7.4,8.4,8.4,8.4,7.3,7.4,7.3,,,
2016-07-06,7.0,7.1,7.5,7.4,7.4,7.3,7.3,7.5,,,5.4
2016-08-03,6.9,7.0,6.7,6.7,6.5,7.1,7.3,6.8,,,
2016-09-08,7.0,7.1,6.8,7.4,7.4,7.2,7.3,7.3,,,
2016-10-05,6.7,7.4,7.6,7.5,7.6,7.2,7.1,8.3,,,6.1
2016-11-03,7.0,7.2,7.3,7.3,7.2,7.2,7.5,8.2,,,
2016-12-07,6.6,6.9,6.3,6.2,6.1,7.1,7.4,9.9,,,
2017-01-04,6.7,7.1,6.9,7.2,7.2,6.9,7.2,9.8,,,7.7
2017-02-01,6.6,7.1,6.0,7.4,7.4,7.1,7.7,7.7,,,
2017-03-01,7.4,7.2,7.3,7.5,7.5,7.4,7.4,9.6,,,
2017-04-05,6.6,7.3,7.6,7.3,7.2,7.4,7.8,7.6,,,4.9
2017-05-03,6.6,,,,6.8,7.0,7.3,7.8,,,
2017-06-07,6.7,7.2,7.6,7.7,7.7,7.3,7.2,7.0,,,
2017-07-07,6.8,7.0,5.7,7.6,7.6,7.3,7.5,7.7,,,8.4
2017-08-02,6.7,,,,6.8,7.1,7.5,8.1,,,
2017-09-06,7.0,7.3,7.9,7.9,7.9,7.3,7.4,7.5,,,
2017-10-04,7.2,7.4,7.9,7.9,7.9,7.2,7.7,9.7,,,8.1
2017-11-01,6.5,7.1,7.4,7.5,7.5,6.9,6.7,7.7,,,
2017-12-06,6.6,,,,6.6,6.9,7.0,8.1,,,
2017-01-04,6.7,7.1,6.9,7.2,7.2,6.9,7.2,9.8,,,7.7
2017-02-01,6.6,7.1,6.0,7.4,7.4,7.1,7.7,7.7,,,
2017-03-01,7.4,7.2,7.3,7.5,7.5,7.4,7.4,9.6,,,
2017-04-05,6.6,7.3,7.6,7.3,7.2,7.4,7.8,7.6,,,4.9
2017-05-03,6.6,,,,6.8,7.0,7.3,7.8,,,
2017-06-07,6.7,7.2,7.6,7.7,7.7,7.3,7.2,7.0,,,
2017-07-07,6.8,7.0,5.7,7.6,7.6,7.3,7.5,7.7,,,8.4
2017-08-02,6.7,,,,6.8,7.1,7.5,8.1,,,
2017-09-06,7.0,7.3,7.9,7.9,7.9,7.3,7.4,7.5,,,
2017-10-04,7.2,7.4,7.9,7.9,7.9,7.2,7.7,9.7,,,8.1
2017-11-01,6.5,7.1,7.4,7.5,7.5,6.9,6.7,7.7,,,
2017-12-06,6.6,,,,6.6,6.9,7.0,8.1,,,
2018-01-24,6.6,6.9,6.3,6.4,6.6,6.9,6.7,7.2,,,
2018-02-15,6.6,7.1,6.6,6.7,6.6,6.8,7.3,7.4,,,6.3
2018-03-07,6.9,,,,7.3,7.4,7.8,7.7,,,
2018-04-04,7.0,,,,7.4,7.4,7.6,8.7,,,6.0
2018-05-02,7.4,,,,7.2,7.5,7.6,9.6,,,
2018-06-06,7.4,,,,7.9,7.9,7.6,8.0,,,
2018-07-04,6.8,6.9,8.0,7.9,7.9,7.2,7.1,7.4,,,6.3
2018-08-01,6.6,,,,6.7,7.0,7.0,7.6,,,
2018-09-05,6.7,7.1,8.3,7.7,7.7,7.2,6.8,7.5,,,
2018-10-03,6.7,7.0,7.2,7.4,7.4,7.2,6.8,7.2,,,6.5
2018-11-07,7.1,7.4,8.11,8.0,8.1,7.5,7.7,8.3,,,
2018-12-05,5.7,6.3,6.3,6.9,6.6,6.1,4.4,7.2,,,
2018-01-24,6.6,6.9,6.3,6.4,6.6,6.9,6.7,7.2,,,
2018-02-15,6.6,7.1,6.6,6.7,6.6,6.8,7.3,7.4,,,6.3
2018-03-07,6.9,,,,7.3,7.4,7.8,7.7,,,
2018-04-04,7.0,,,,7.4,7.4,7.6,8.7,,,6.0
2018-05-02,7.4,,,,7.2,7.5,7.6,9.6,,,
2018-06-06,7.4,,,,7.9,7.9,7.6,8.0,,,
2018-07-04,6.8,6.9,8.0,7.9,7.9,7.2,7.1,7.4,,,6.3
2018-08-01,6.6,,,,6.7,7.0,7.0,7.6,,,
2018-09-05,6.7,7.1,8.3,7.7,7.7,7.2,6.8,7.5,,,
2018-10-03,6.7,7.0,7.2,7.4,7.4,7.2,6.8,7.2,,,6.5
2018-11-07,7.1,7.4,8.11,8.0,8.1,7.5,7.7,8.3,,,
2018-12-05,5.7,6.3,6.3,6.9,6.6,6.1,4.4,7.2,,,
2019-01-02,6.5,,,,13.6,23.8,27.8,18.9,,,14.8
2019-02-06,6.6,,,,7.2,7.1,7.3,8.7,,,
2019-03-08,6.8,,,,6.9,7.1,7.7,8.0,,,
2017-04-03,6.8,,,,6.9,7.3,7.5,7.6,,,7.0
2019-05-03,7.2,,,,7.2,7.4,7.6,7.6,,,
2019-06-05,6.7,,,,6.9,7.2,7.0,7.6,,,
2019-07-03,6.4,,,,6.3,6.6,7.1,7.2,,,7.7
2019-08-07,6.9,,,,7.3,7.2,7.5,7.7,,,
2019-09-04,7.0,,,,7.2,7.2,7.5,7.8,,,
2019-10-02,6.8,,,,6.7,7.0,7.2,8.4,,,7.5
2019-11-06,6.7,6.8,7.2,7.3,6.3,7.0,7.4,7.4,,,
2019-12-04,6.5,6.7,7.1,7.2,6.5,7.0,7.3,7.4,,,
