ENTIDADE,DATA,DQO
P1,2013-01-22,40.3
Pb,2013-01-22,38.2
Pc,2013-01-22,17.8
Pd,2013-01-22,16.5
P2,2013-01-22,9.3
P3,2013-01-22,18.0
P4,2013-01-22,78.4
P5,2013-01-22,14.2
P7,2013-01-22,
P1,2013-02-14,100.7
Pb,2013-02-14,39.9
Pc,2013-02-14,89.5
Pd,2013-02-14,19.5
P2,2013-02-14,116.2
P3,2013-02-14,20.8
P4,2013-02-14,40.3
P5,2013-02-14,18.9
P7,2013-02-14,
P1,2013-03-06,242.8
Pb,2013-03-06,99.6
Pc,2013-03-06,46.1
Pd,2013-03-06,40.0
P2,2013-03-06,4.1
P3,2013-03-06,26.3
P4,2013-03-06,333.7
P5,2013-03-06,18.6
P7,2013-03-06,
P1,2013-04-03,359.5
Pb,2013-04-03,89.9
Pc,2013-04-03,51.8
Pd,2013-04-03,38.1
P2,2013-04-03,41.1
P3,2013-04-03,20.3
P4,2013-04-03,230.1
P5,2013-04-03,23.3
P7,2013-04-03,
P1,2013-05-08,356.2
Pb,2013-05-08,134.8
Pc,2013-05-08,100.4
Pd,2013-05-08,64.1
P2,2013-05-08,42.6
P3,2013-05-08,55.3
P4,2013-05-08,470.4
P5,2013-05-08,23.5
P7,2013-05-08,
P1,2013-06-05,249.3
Pb,2013-06-05,120.9
Pc,2013-06-05,99.5
Pd,2013-06-05,50.9
P2,2013-06-05,83.9
P3,2013-06-05,32.1
P4,2013-06-05,312.4
P5,2013-06-05,21.4
P7,2013-06-05,
P1,2013-07-03,343.5
Pb,2013-07-03,40.7
Pc,2013-07-03,26.8
Pd,2013-07-03,49.2
P2,2013-07-03,306.4
P3,2013-07-03,11.1
P4,2013-07-03,168.5
P5,2013-07-03,22.5
P7,2013-07-03,
P1,2013-08-07,371.2
Pb,2013-08-07,88.1
Pc,2013-08-07,77.8
Pd,2013-08-07,77.8
P2,2013-08-07,12.8
P3,2013-08-07,26.1
P4,2013-08-07,185.6
P5,2013-08-07,41.0
P7,2013-08-07,
P1,2013-09-04,406.4
Pb,2013-09-04,71.1
Pc,2013-09-04,41.7
Pd,2013-09-04,32.5
P2,2013-09-04,96.5
P3,2013-09-04,31.0
P4,2013-09-04,82.5
P5,2013-09-04,11.2
P7,2013-09-04,
P1,2013-10-02,188.0
Pb,2013-10-02,29.0
Pc,2013-10-02,39.0
Pd,2013-10-02,26.0
P2,2013-10-02,24.0
P3,2013-10-02,15.2
P4,2013-10-02,96.0
P5,2013-10-02,6.4
P7,2013-10-02,
P1,2013-11-06,
Pb,2013-11-06,
Pc,2013-11-06,
Pd,2013-11-06,
P2,2013-11-06,
P3,2013-11-06,
P4,2013-11-06,
P5,2013-11-06,
P7,2013-11-06,
P1,2013-12-04,207.4
Pb,2013-12-04,53.1
Pc,2013-12-04,28.4
Pd,2013-12-04,26.5
P2,2013-12-04,34.1
P3,2013-12-04,31.5
P4,2013-12-04,248.4
P5,2013-12-04,13.7
P7,2013-12-04,
P1,2014-01-08,360.7
Pb,2014-01-08,42.1
Pc,2014-01-08,30.2
Pd,2014-01-08,29.3
P2,2014-01-08,20.2
P3,2014-01-08,16.9
P4,2014-01-08,205.2
P5,2014-01-08,16.9
P7,2014-01-08,
P1,2014-02-05,371.9
Pb,2014-02-05,81.7
Pc,2014-02-05,55.9
Pd,2014-02-05,56.8
P2,2014-02-05,74.6
P3,2014-02-05,32.9
P4,2014-02-05,163.4
P5,2014-02-05,32.4
P7,2014-02-05,
P1,2014-03-06,129.6
Pb,2014-03-06,31.1
Pc,2014-03-06,32.0
Pd,2014-03-06,19.0
P2,2014-03-06,20.7
P3,2014-03-06,19.9
P4,2014-03-06,190.1
P5,2014-03-06,12.1
P7,2014-03-06,
P1,2014-04-02,260.4
Pb,2014-04-02,52.1
Pc,2014-04-02,27.8
Pd,2014-04-02,21.7
P2,2014-04-02,20.8
P3,2014-04-02,33.4
P4,2014-04-02,206.6
P5,2014-04-02,14.8
P7,2014-04-02,
P1,2014-05-07,339.7
Pb,2014-05-07,75.7
Pc,2014-05-07,31.0
Pd,2014-05-07,39.6
P2,2014-05-07,27.5
P3,2014-05-07,21.1
P4,2014-05-07,141.9
P5,2014-05-07,19.4
P7,2014-05-07,
P1,2014-06-04,468.7
Pb,2014-06-04,86.0
Pc,2014-06-04,49.0
Pd,2014-06-04,55.0
P2,2014-06-04,53.3
P3,2014-06-04,26.7
P4,2014-06-04,223.6
P5,2014-06-04,5.0
P7,2014-06-04,
P1,2014-07-02,
Pb,2014-07-02,
Pc,2014-07-02,
Pd,2014-07-02,
P2,2014-07-02,
P3,2014-07-02,
P4,2014-07-02,
P5,2014-07-02,
P7,2014-07-02,
P1,2014-08-06,128.1
Pb,2014-08-06,59.9
Pc,2014-08-06,44.3
Pd,2014-08-06,49.2
P2,2014-08-06,360.8
P3,2014-08-06,23.4
P4,2014-08-06,59.0
P5,2014-08-06,18.5
P7,2014-08-06,
P1,2014-09-03,342.0
Pb,2014-09-03,55.2
Pc,2014-09-03,30.5
Pd,2014-09-03,59.3
P2,2014-09-03,46.1
P3,2014-09-03,40.4
P4,2014-09-03,179.2
P5,2014-09-03,25.5
P7,2014-09-03,
P1,2014-10-01,495.0
Pb,2014-10-01,93.2
Pc,2014-10-01,57.4
Pd,2014-10-01,34.9
P2,2014-10-01,61.6
P3,2014-10-01,28.3
P4,2014-10-01,83.2
P5,2014-10-01,34.1
P7,2014-10-01,
P1,2014-11-05,222.5
Pb,2014-11-05,66.3
Pc,2014-11-05,32.7
Pd,2014-11-05,34.5
P2,2014-11-05,48.1
P3,2014-11-05,21.3
P4,2014-11-05,31.8
P5,2014-11-05,12.3
P7,2014-11-05,
P1,2014-12-04,197.1
Pb,2014-12-04,60.5
Pc,2014-12-04,56.6
Pd,2014-12-04,69.8
P2,2014-12-04,37.2
P3,2014-12-04,98.6
P4,2014-12-04,287.1
P5,2014-12-04,36.9
P7,2014-12-04,
P1,2014-01-08,360.7
Pb,2014-01-08,42.1
Pc,2014-01-08,30.2
Pd,2014-01-08,29.3
P2,2014-01-08,20.2
P3,2014-01-08,16.9
P4,2014-01-08,205.2
P5,2014-01-08,16.9
P7,2014-01-08,
P1,2014-02-05,371.9
Pb,2014-02-05,81.7
Pc,2014-02-05,55.9
Pd,2014-02-05,56.8
P2,2014-02-05,74.6
P3,2014-02-05,32.9
P4,2014-02-05,163.4
P5,2014-02-05,32.4
P7,2014-02-05,
P1,2014-03-06,129.6
Pb,2014-03-06,31.1
Pc,2014-03-06,32.0
Pd,2014-03-06,19.0
P2,2014-03-06,20.7
P3,2014-03-06,19.9
P4,2014-03-06,190.1
P5,2014-03-06,12.1
P7,2014-03-06,
P1,2014-04-02,260.4
Pb,2014-04-02,52.1
Pc,2014-04-02,27.8
Pd,2014-04-02,21.7
P2,2014-04-02,20.8
P3,2014-04-02,33.4
P4,2014-04-02,206.6
P5,2014-04-02,14.8
P7,2014-04-02,
P1,2014-05-07,339.7
Pb,2014-05-07,75.7
Pc,2014-05-07,31.0
Pd,2014-05-07,39.6
P2,2014-05-07,27.5
P3,2014-05-07,21.1
P4,2014-05-07,141.9
P5,2014-05-07,19.4
P7,2014-05-07,
P1,2014-06-04,468.7
Pb,2014-06-04,86.0
Pc,2014-06-04,49.0
Pd,2014-06-04,55.0
P2,2014-06-04,53.3
P3,2014-06-04,26.7
P4,2014-06-04,223.6
P5,2014-06-04,5.0
P7,2014-06-04,
P1,2014-07-02,
Pb,2014-07-02,
Pc,2014-07-02,
Pd,2014-07-02,
P2,2014-07-02,
P3,2014-07-02,
P4,2014-07-02,
P5,2014-07-02,
P7,2014-07-02,
P1,2014-08-06,128.1
Pb,2014-08-06,59.9
Pc,2014-08-06,44.3
Pd,2014-08-06,49.2
P2,2014-08-06,360.8
P3,2014-08-06,23.4
P4,2014-08-06,59.0
P5,2014-08-06,18.5
P7,2014-08-06,
P1,2014-09-03,342.0
Pb,2014-09-03,55.2
Pc,2014-09-03,30.5
Pd,2014-09-03,59.3
P2,2014-09-03,46.1
P3,2014-09-03,40.4
P4,2014-09-03,179.2
P5,2014-09-03,25.5
P7,2014-09-03,
P1,2014-10-01,495.0
Pb,2014-10-01,93.2
Pc,2014-10-01,57.4
Pd,2014-10-01,34.9
P2,2014-10-01,61.6
P3,2014-10-01,28.3
P4,2014-10-01,83.2
P5,2014-10-01,34.1
P7,2014-10-01,
P1,2014-11-05,222.5
Pb,2014-11-05,66.3
Pc,2014-11-05,32.7
Pd,2014-11-05,34.5
P2,2014-11-05,48.1
P3,2014-11-05,21.3
P4,2014-11-05,31.8
P5,2014-11-05,12.3
P7,2014-11-05,
P1,2014-12-04,197.1
Pb,2014-12-04,60.5
Pc,2014-12-04,56.6
Pd,2014-12-04,69.8
P2,2014-12-04,37.2
P3,2014-12-04,98.6
P4,2014-12-04,287.1
P5,2014-12-04,36.9
P7,2014-12-04,
P1,2015-01-07,357.2
Pb,2015-01-07,32.8
Pc,2015-01-07,29.6
Pd,2015-01-07,21.8
P2,2015-01-07,35.9
P3,2015-01-07,18.3
P4,2015-01-07,81.9
P5,2015-01-07,12.1
P7,2015-01-07,204.8
P1,2015-02-04,274.5
Pb,2015-02-04,38.8
Pc,2015-02-04,28.5
Pd,2015-02-04,17.6
P2,2015-02-04,19.8
P3,2015-02-04,13.9
P4,2015-02-04,175.7
P5,2015-02-04,11.3
P7,2015-02-04,
P1,2015-03-06,339.4
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,82.3
P3,2015-03-06,16.8
P4,2015-03-06,94.5
P5,2015-03-06,21.5
P7,2015-03-06,
P1,2015-04-01,374.4
Pb,2015-04-01,43.2
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,43.2
P3,2015-04-01,5.3
P4,2015-04-01,211.2
P5,2015-04-01,5.3
P7,2015-04-01,48.5
P1,2015-05-06,470.6
Pb,2015-05-06,88.0
Pc,2015-05-06,48.6
Pd,2015-05-06,52.6
P2,2015-05-06,50.6
P3,2015-05-06,29.3
P4,2015-05-06,222.6
P5,2015-05-06,21.3
P7,2015-05-06,
P1,2015-06-03,425.9
Pb,2015-06-03,85.2
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,85.2
P3,2015-06-03,32.9
P4,2015-06-03,213.0
P5,2015-06-03,25.1
P7,2015-06-03,
P1,2015-07-01,321.0
Pb,2015-07-01,28.3
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,28.3
P3,2015-07-01,24.3
P4,2015-07-01,44.8
P5,2015-07-01,16.0
P7,2015-07-01,70.8
P1,2015-08-05,156.8
Pb,2015-08-05,36.8
Pc,2015-08-05,35.3
Pd,2015-08-05,14.7
P2,2015-08-05,44.1
P3,2015-08-05,21.6
P4,2015-08-05,44.1
P5,2015-08-05,8.3
P7,2015-08-05,
P1,2015-09-03,311.4
Pb,2015-09-03,45.8
Pc,2015-09-03,59.5
Pd,2015-09-03,33.0
P2,2015-09-03,69.6
P3,2015-09-03,17.4
P4,2015-09-03,68.7
P5,2015-09-03,31.1
P7,2015-09-03,
P1,2015-10-08,105.3
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,46.0
P3,2015-10-08,23.4
P4,2015-10-08,22.0
P5,2015-10-08,9.6
P7,2015-10-08,12.8
P1,2015-11-04,196.9
Pb,2015-11-04,39.4
Pc,2015-11-04,29.3
Pd,2015-11-04,35.7
P2,2015-11-04,20.2
P3,2015-11-04,14.2
P4,2015-11-04,141.1
P5,2015-11-04,33.0
P7,2015-11-04,
P1,2015-12-02,290.4
Pb,2015-12-02,49.5
Pc,2015-12-02,21.9
Pd,2015-12-02,11.4
P2,2015-12-02,13.3
P3,2015-12-02,18.1
P4,2015-12-02,199.9
P5,2015-12-02,79.0
P7,2015-12-02,
P1,2015-01-07,357.2
Pb,2015-01-07,32.8
Pc,2015-01-07,29.6
Pd,2015-01-07,21.8
P2,2015-01-07,35.9
P3,2015-01-07,18.3
P4,2015-01-07,81.9
P5,2015-01-07,12.1
P7,2015-01-07,204.8
P1,2015-02-04,274.5
Pb,2015-02-04,38.8
Pc,2015-02-04,28.5
Pd,2015-02-04,17.6
P2,2015-02-04,19.8
P3,2015-02-04,13.9
P4,2015-02-04,175.7
P5,2015-02-04,11.3
P7,2015-02-04,
P1,2015-03-06,339.4
Pb,2015-03-06,
Pc,2015-03-06,
Pd,2015-03-06,
P2,2015-03-06,82.3
P3,2015-03-06,16.8
P4,2015-03-06,94.5
P5,2015-03-06,21.5
P7,2015-03-06,
P1,2015-04-01,374.4
Pb,2015-04-01,43.2
Pc,2015-04-01,
Pd,2015-04-01,
P2,2015-04-01,43.2
P3,2015-04-01,5.3
P4,2015-04-01,211.2
P5,2015-04-01,5.3
P7,2015-04-01,48.5
P1,2015-05-06,470.6
Pb,2015-05-06,88.0
Pc,2015-05-06,48.6
Pd,2015-05-06,52.6
P2,2015-05-06,50.6
P3,2015-05-06,29.3
P4,2015-05-06,222.6
P5,2015-05-06,21.3
P7,2015-05-06,
P1,2015-06-03,425.9
Pb,2015-06-03,85.2
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,85.2
P3,2015-06-03,32.9
P4,2015-06-03,213.0
P5,2015-06-03,25.1
P7,2015-06-03,
P1,2015-07-01,321.0
Pb,2015-07-01,28.3
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,28.3
P3,2015-07-01,24.3
P4,2015-07-01,44.8
P5,2015-07-01,16.0
P7,2015-07-01,70.8
P1,2015-08-05,156.8
Pb,2015-08-05,36.8
Pc,2015-08-05,35.3
Pd,2015-08-05,14.7
P2,2015-08-05,44.1
P3,2015-08-05,21.6
P4,2015-08-05,44.1
P5,2015-08-05,8.3
P7,2015-08-05,
P1,2015-09-03,311.4
Pb,2015-09-03,45.8
Pc,2015-09-03,59.5
Pd,2015-09-03,33.0
P2,2015-09-03,69.6
P3,2015-09-03,17.4
P4,2015-09-03,68.7
P5,2015-09-03,31.1
P7,2015-09-03,
P1,2015-10-08,105.3
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,46.0
P3,2015-10-08,23.4
P4,2015-10-08,22.0
P5,2015-10-08,9.6
P7,2015-10-08,12.8
P1,2015-11-04,196.9
Pb,2015-11-04,39.4
Pc,2015-11-04,29.3
Pd,2015-11-04,35.7
P2,2015-11-04,20.2
P3,2015-11-04,14.2
P4,2015-11-04,141.1
P5,2015-11-04,33.0
P7,2015-11-04,
P1,2015-12-02,290.4
Pb,2015-12-02,49.5
Pc,2015-12-02,21.9
Pd,2015-12-02,11.4
P2,2015-12-02,13.3
P3,2015-12-02,18.1
P4,2015-12-02,199.9
P5,2015-12-02,79.0
P7,2015-12-02,
P1,2016-01-06,394.8
Pb,2016-01-06,32.9
Pc,2016-01-06,16.0
Pd,2016-01-06,19.7
P2,2016-01-06,32.9
P3,2016-01-06,17.4
P4,2016-01-06,188.0
P5,2016-01-06,13.6
P7,2016-01-06,21.2
P1,2016-02-05,64.4
Pb,2016-02-05,37.5
Pc,2016-02-05,11.2
Pd,2016-02-05,9.0
P2,2016-02-05,38.6
P3,2016-02-05,34.2
P4,2016-02-05,36.4
P5,2016-02-05,23.2
P7,2016-02-05,
P1,2016-03-02,504.9
Pb,2016-03-02,54.0
Pc,2016-03-02,25.9
Pd,2016-03-02,45.6
P2,2016-03-02,34.6
P3,2016-03-02,31.3
P4,2016-03-02,183.6
P5,2016-03-02,17.3
P7,2016-03-02,
P1,2016-04-06,207.9
Pb,2016-04-06,21.3
Pc,2016-04-06,3.8
Pd,2016-04-06,1.6
P2,2016-04-06,27.0
P3,2016-04-06,19.7
P4,2016-04-06,429.3
P5,2016-04-06,24.3
P7,2016-04-06,11.3
P1,2016-05-04,378.7
Pb,2016-05-04,
Pc,2016-05-04,
Pd,2016-05-04,
P2,2016-05-04,75.7
P3,2016-05-04,13.2
P4,2016-05-04,273.5
P5,2016-05-04,6.3
P7,2016-05-04,
P1,2016-06-01,523.3
Pb,2016-06-01,134.0
Pc,2016-06-01,124.8
Pd,2016-06-01,134.0
P2,2016-06-01,134.0
P3,2016-06-01,66.1
P4,2016-06-01,615.1
P5,2016-06-01,26.6
P7,2016-06-01,
P1,2016-07-06,926.3
Pb,2016-07-06,76.2
Pc,2016-07-06,70.7
Pd,2016-07-06,56.8
P2,2016-07-06,64.7
P3,2016-07-06,47.8
P4,2016-07-06,373.5
P5,2016-07-06,35.9
P7,2016-07-06,60.8
P1,2016-08-03,215.9
Pb,2016-08-03,224.9
Pc,2016-08-03,96.4
Pd,2016-08-03,66.3
P2,2016-08-03,84.3
P3,2016-08-03,12.6
P4,2016-08-03,200.8
P5,2016-08-03,33.1
P7,2016-08-03,
P1,2016-09-08,330.4
Pb,2016-09-08,54.8
Pc,2016-09-08,196.4
Pd,2016-09-08,91.6
P2,2016-09-08,65.1
P3,2016-09-08,22.2
P4,2016-09-08,410.6
P5,2016-09-08,35.4
P7,2016-09-08,
P1,2016-10-05,198.2
Pb,2016-10-05,136.9
Pc,2016-10-05,110.4
Pd,2016-10-05,103.8
P2,2016-10-05,80.2
P3,2016-10-05,53.3
P4,2016-10-05,391.8
P5,2016-10-05,19.4
P7,2016-10-05,57.6
P1,2016-11-03,212.5
Pb,2016-11-03,65.8
Pc,2016-11-03,36.4
Pd,2016-11-03,18.2
P2,2016-11-03,131.6
P3,2016-11-03,84.0
P4,2016-11-03,728.6
P5,2016-11-03,20.7
P7,2016-11-03,
P1,2016-12-07,139.5
Pb,2016-12-07,33.1
Pc,2016-12-07,76.7
Pd,2016-12-07,36.6
P2,2016-12-07,14.0
P3,2016-12-07,5.0
P4,2016-12-07,126.4
