ENTIDADE,DATA,NITROGÃŠNIO
P1,2013-01-08,4.5
P2,2013-01-08,8.6
P7,2013-01-08,
P1,2013-01-09,8.9
P2,2013-01-09,12.8
P7,2013-01-09,
P1,2013-02-05,12.4
P2,2013-02-05,17.3
P7,2013-02-05,
P1,2013-02-14,15.6
P2,2013-02-14,4.7
P7,2013-02-14,
P1,2013-02-19,17.5
P2,2013-02-19,6.4
P7,2013-02-19,
P1,2013-02-26,52.2
P2,2013-02-26,29.3
P7,2013-02-26,
P1,2013-03-05,24.8
P2,2013-03-05,42.0
P7,2013-03-05,
P1,2013-03-12,20.8
P2,2013-03-12,38.6
P7,2013-03-12,
P1,2013-03-19,64.1
P2,2013-03-19,53.4
P7,2013-03-19,
P1,2013-03-26,70.0
P2,2013-03-26,36.7
P7,2013-03-26,
P1,2013-04-02,41.0
P2,2013-04-02,29.2
P7,2013-04-02,
P1,2013-04-09,
P2,2013-04-09,
P7,2013-04-09,
P1,2013-04-16,25.3
P2,2013-04-16,39.0
P7,2013-04-16,
P1,2013-04-23,24.9
P2,2013-04-23,33.5
P7,2013-04-23,
P1,2013-05-08,29.4
P2,2013-05-08,45.9
P7,2013-05-08,
P1,2013-05-15,52.6
P2,2013-05-15,47.0
P7,2013-05-15,
P1,2013-05-21,63.5
P2,2013-05-21,62.1
P7,2013-05-21,
P1,2013-05-28,69.1
P2,2013-05-28,76.5
P7,2013-05-28,
P1,2013-06-05,40.8
P2,2013-06-05,47.0
P7,2013-06-05,
P1,2013-06-11,43.5
P2,2013-06-11,35.0
P7,2013-06-11,
P1,2013-06-18,
P2,2013-06-18,
P7,2013-06-18,
P1,2013-06-25,49.4
P2,2013-06-25,23.5
P7,2013-06-25,
P1,2013-06-28,77.2
P2,2013-06-28,64.5
P7,2013-06-28,
P1,2013-07-02,53.6
P2,2013-07-02,56.6
P7,2013-07-02,
P1,2013-07-09,40.6
P2,2013-07-09,32.4
P7,2013-07-09,
P1,2013-07-16,26.1
P2,2013-07-16,18.6
P7,2013-07-16,
P1,2013-07-23,27.4
P2,2013-07-23,11.6
P7,2013-07-23,
P1,2013-07-30,
P2,2013-07-30,
P7,2013-07-30,
P1,2013-08-06,31.1
P2,2013-08-06,54.2
P7,2013-08-06,
P1,2013-08-13,21.9
P2,2013-08-13,41.5
P7,2013-08-13,
P1,2013-08-20,19.1
P2,2013-08-20,45.5
P7,2013-08-20,
P1,2013-08-27,10.2
P2,2013-08-27,16.2
P7,2013-08-27,
P1,2013-09-03,29.7
P2,2013-09-03,41.9
P7,2013-09-03,
P1,2013-09-10,29.5
P2,2013-09-10,38.5
P7,2013-09-10,
P1,2013-09-17,24.6
P2,2013-09-17,14.3
P7,2013-09-17,
P1,2013-09-24,19.1
P2,2013-09-24,43.6
P7,2013-09-24,
P1,2013-10-01,33.8
P2,2013-10-01,53.6
P7,2013-10-01,
P1,2013-10-08,28.4
P2,2013-10-08,43.2
P7,2013-10-08,
P1,2013-10-16,57.9
P2,2013-10-16,17.4
P7,2013-10-16,
P1,2013-10-22,39.9
P2,2013-10-22,23.1
P7,2013-10-22,
P1,2013-10-29,
P2,2013-10-29,
P7,2013-10-29,
P1,2013-11-05,
P2,2013-11-05,
P7,2013-11-05,
P1,2013-11-12,
P2,2013-11-12,
P7,2013-11-12,
P1,2013-11-19,
P2,2013-11-19,
P7,2013-11-19,
P1,2013-11-26,
P2,2013-11-26,
P7,2013-11-26,
P1,2013-12-03,32.1
P2,2013-12-03,34.4
P7,2013-12-03,
P1,2013-12-10,28.5
P2,2013-12-10,12.8
P7,2013-12-10,
P1,2013-12-17,33.0
P2,2013-12-17,13.4
P7,2013-12-17,
P1,2014-01-08,25.8
P2,2014-01-08,18.5
P7,2014-01-08,
P1,2014-01-14,23.1
P2,2014-01-14,12.7
P7,2014-01-14,
P1,2014-01-21,33.6
P2,2014-01-21,14.0
P7,2014-01-21,
P1,2014-01-28,17.5
P2,2014-01-28,13.8
P7,2014-01-28,
P1,2014-02-05,20.1
P2,2014-02-05,17.6
P7,2014-02-05,
P1,2014-02-11,5.7
P2,2014-02-11,3.6
P7,2014-02-11,
P1,2014-02-18,25.5
P2,2014-02-18,9.5
P7,2014-02-18,
P1,2014-02-25,49.9
P2,2014-02-25,24.1
P7,2014-02-25,
P1,2014-03-06,22.6
P2,2014-03-06,4.2
P7,2014-03-06,
P1,2014-03-11,41.7
P2,2014-03-11,17.5
P7,2014-03-11,
P1,2014-03-18,41.2
P2,2014-03-18,19.0
P7,2014-03-18,
P1,2014-03-25,46.6
P2,2014-03-25,40.6
P7,2014-03-25,
P1,2014-04-02,42.9
P2,2014-04-02,39.1
P7,2014-04-02,
P1,2014-04-08,40.2
P2,2014-04-08,29.8
P7,2014-04-08,
P1,2014-04-15,36.4
P2,2014-04-15,27.7
P7,2014-04-15,
P1,2014-04-22,42.9
P2,2014-04-22,1.9
P7,2014-04-22,
P1,2014-04-29,
P2,2014-04-29,
P7,2014-04-29,
P1,2014-05-07,45.6
P2,2014-05-07,65.4
P7,2014-05-07,
P1,2014-05-13,44.5
P2,2014-05-13,30.7
P7,2014-05-13,
P1,2014-05-20,64.0
P2,2014-05-20,40.2
P7,2014-05-20,
P1,2014-05-27,53.2
P2,2014-05-27,61.0
P7,2014-05-27,
P1,2014-06-04,45.6
P2,2014-06-04,77.9
P7,2014-06-04,
P1,2014-06-10,38.0
P2,2014-06-10,23.6
P7,2014-06-10,
P1,2014-06-17,23.5
P2,2014-06-17,51.5
P7,2014-06-17,
P1,2014-06-24,39.6
P2,2014-06-24,26.6
P7,2014-06-24,
P1,2014-07-02,
P2,2014-07-02,
P7,2014-07-02,
P1,2014-07-08,
P2,2014-07-08,
P7,2014-07-08,
P1,2014-07-15,
P2,2014-07-15,
P7,2014-07-15,
P1,2014-07-22,
P2,2014-07-22,
P7,2014-07-22,
P1,2014-07-29,
P2,2014-07-29,
P7,2014-07-29,
P1,2014-08-06,19.9
P2,2014-08-06,83.0
P7,2014-08-06,
P1,2014-08-12,26.9
P2,2014-08-12,87.9
P7,2014-08-12,
P1,2014-08-19,68.5
P2,2014-08-19,86.6
P7,2014-08-19,
P1,2014-08-26,55.2
P2,2014-08-26,67.6
P7,2014-08-26,
P1,2014-09-03,0.0
P2,2014-09-03,0.0
P7,2014-09-03,
P1,2014-09-09,54.1
P2,2014-09-09,60.9
P7,2014-09-09,
P1,2014-09-16,0.0
P2,2014-09-16,0.0
P7,2014-09-16,
P1,2014-09-23,24.8
P2,2014-09-23,52.9
P7,2014-09-23,
P1,2014-09-30,53.1
P2,2014-09-30,61.0
P7,2014-09-30,
P1,2014-10-01,42.4
P2,2014-10-01,54.5
P7,2014-10-01,
P1,2014-10-07,51.9
P2,2014-10-07,38.7
P7,2014-10-07,
P1,2014-10-14,41.6
P2,2014-10-14,28.7
P7,2014-10-14,
P1,2014-10-21,44.6
P2,2014-10-21,32.7
P7,2014-10-21,
P1,2014-10-28,52.1
P2,2014-10-28,52.7
P7,2014-10-28,
P1,2014-11-05,34.5
P2,2014-11-05,45.7
P7,2014-11-05,
P1,2014-11-11,45.2
P2,2014-11-11,52.3
P7,2014-11-11,
P1,2014-10-18,63.2
P2,2014-10-18,54.1
P7,2014-10-18,
P1,2014-11-25,13.8
P2,2014-11-25,14.2
P7,2014-11-25,
P1,2014-12-04,15.6
P2,2014-12-04,12.4
P7,2014-12-04,
P1,2014-12-09,17.6
P2,2014-12-09,6.8
P7,2014-12-09,
P1,2014-12-16,13.5
P2,2014-12-16,6.2
P7,2014-12-16,
P1,2014-01-08,25.8
P2,2014-01-08,18.5
P7,2014-01-08,
P1,2014-01-14,23.1
P2,2014-01-14,12.7
P7,2014-01-14,
P1,2014-01-21,33.6
P2,2014-01-21,14.0
P7,2014-01-21,
P1,2014-01-28,17.5
P2,2014-01-28,13.8
P7,2014-01-28,
P1,2014-02-05,20.1
P2,2014-02-05,17.6
P7,2014-02-05,
P1,2014-02-11,5.7
P2,2014-02-11,3.6
P7,2014-02-11,
P1,2014-02-18,25.5
P2,2014-02-18,9.5
P7,2014-02-18,
P1,2014-02-25,49.9
P2,2014-02-25,24.1
P7,2014-02-25,
P1,2014-03-06,22.6
P2,2014-03-06,4.2
P7,2014-03-06,
P1,2014-03-11,41.7
P2,2014-03-11,17.5
P7,2014-03-11,
P1,2014-03-18,41.2
P2,2014-03-18,19.0
P7,2014-03-18,
P1,2014-03-25,46.6
P2,2014-03-25,40.6
P7,2014-03-25,
P1,2014-04-02,42.9
P2,2014-04-02,39.1
P7,2014-04-02,
P1,2014-04-08,40.2
P2,2014-04-08,29.8
P7,2014-04-08,
P1,2014-04-15,36.4
P2,2014-04-15,27.7
P7,2014-04-15,
P1,2014-04-22,42.9
P2,2014-04-22,1.9
P7,2014-04-22,
P1,2014-04-29,
P2,2014-04-29,
P7,2014-04-29,
P1,2014-05-07,45.6
P2,2014-05-07,65.4
P7,2014-05-07,
P1,2014-05-13,44.5
P2,2014-05-13,30.7
P7,2014-05-13,
P1,2014-05-20,64.0
P2,2014-05-20,40.2
P7,2014-05-20,
P1,2014-05-27,53.2
P2,2014-05-27,61.0
P7,2014-05-27,
P1,2014-06-04,45.6
P2,2014-06-04,77.9
P7,2014-06-04,
P1,2014-06-10,38.0
P2,2014-06-10,23.6
P7,2014-06-10,
P1,2014-06-17,23.5
P2,2014-06-17,51.5
P7,2014-06-17,
P1,2014-06-24,39.6
P2,2014-06-24,26.6
P7,2014-06-24,
P1,2014-07-02,
P2,2014-07-02,
P7,2014-07-02,
P1,2014-07-08,
P2,2014-07-08,
P7,2014-07-08,
P1,2014-07-15,
P2,2014-07-15,
P7,2014-07-15,
P1,2014-07-22,
P2,2014-07-22,
P7,2014-07-22,
P1,2014-07-29,
P2,2014-07-29,
P7,2014-07-29,
P1,2014-08-06,19.9
P2,2014-08-06,83.0
P7,2014-08-06,
P1,2014-08-12,26.9
P2,2014-08-12,87.9
P7,2014-08-12,
P1,2014-08-19,68.5
P2,2014-08-19,86.6
P7,2014-08-19,
P1,2014-08-26,55.2
P2,2014-08-26,67.6
P7,2014-08-26,
P1,2014-09-03,0.0
P2,2014-09-03,0.0
P7,2014-09-03,
P1,2014-09-09,54.1
P2,2014-09-09,60.9
P7,2014-09-09,
P1,2014-09-16,0.0
P2,2014-09-16,0.0
P7,2014-09-16,
P1,2014-09-23,24.8
P2,2014-09-23,52.9
P7,2014-09-23,
P1,2014-09-30,53.1
P2,2014-09-30,61.0
P7,2014-09-30,
P1,2014-10-01,42.4
P2,2014-10-01,54.5
P7,2014-10-01,
P1,2014-10-07,51.9
P2,2014-10-07,38.7
P7,2014-10-07,
P1,2014-10-14,41.6
P2,2014-10-14,28.7
P7,2014-10-14,
P1,2014-10-21,44.6
P2,2014-10-21,32.7
P7,2014-10-21,
P1,2014-10-28,52.1
P2,2014-10-28,52.7
P7,2014-10-28,
P1,2014-11-05,34.5
P2,2014-11-05,45.7
P7,2014-11-05,
P1,2014-11-11,45.2
P2,2014-11-11,52.3
P7,2014-11-11,
P1,2014-10-18,63.2
P2,2014-10-18,54.1
P7,2014-10-18,
P1,2014-11-25,13.8
P2,2014-11-25,14.2
P7,2014-11-25,
P1,2014-12-04,15.6
P2,2014-12-04,12.4
P7,2014-12-04,
P1,2014-12-09,17.6
P2,2014-12-09,6.8
P7,2014-12-09,
P1,2014-12-16,13.5
P2,2014-12-16,6.2
P7,2014-12-16,
P1,2015-01-07,12.7
P2,2015-01-07,5.5
P7,2015-01-07,31.9
P1,2015-01-13,7.5
P2,2015-01-13,1.6
P7,2015-01-13,
P1,2015-01-20,8.5
P2,2015-01-20,3.9
P7,2015-01-20,
P1,2015-01-27,13.2
P2,2015-01-27,2.5
P7,2015-01-27,
P1,2015-02-04,14.9
P2,2015-02-04,5.5
P7,2015-02-04,
P1,2015-02-10,8.9
P2,2015-02-10,5.9
P7,2015-02-10,
P1,2015-02-18,11.6
P2,2015-02-18,1.6
P7,2015-02-18,
P1,2015-02-24,12.4
P2,2015-02-24,12.6
P7,2015-02-24,
P1,2015-03-06,13.2
P2,2015-03-06,19.2
P7,2015-03-06,
P1,2015-03-10,14.3
P2,2015-03-10,13.6
P7,2015-03-10,
P1,2015-03-17,22.0
P2,2015-03-17,22.2
P7,2015-03-17,
P1,2015-03-24,21.3
P2,2015-03-24,12.8
P7,2015-03-24,
P1,2015-04-01,17.2
P2,2015-04-01,26.2
P7,2015-04-01,15.4
P1,2015-04-07,11.2
P2,2015-04-07,14.6
P7,2015-04-07,
P1,2015-04-14,24.5
P2,2015-04-14,24.1
P7,2015-04-14,
P1,2015-04-22,21.7
P2,2015-04-22,5.8
P7,2015-04-22,
P1,2015-04-28,25.8
P2,2015-04-28,13.9
P7,2015-04-28,
P1,2015-05-06,16.2
P2,2015-05-06,18.9
P7,2015-05-06,
P1,2015-05-12,18.3
P2,2015-05-12,10.9
P7,2015-05-12,
P1,2015-05-19,17.3
P2,2015-05-19,14.9
P7,2015-05-19,
P1,2015-05-26,23.6
P2,2015-05-26,12.2
P7,2015-05-26,
P1,2015-06-05,39.2
P2,2015-06-05,16.8
P7,2015-06-05,
P1,2015-06-12,30.1
P2,2015-06-12,14.7
P7,2015-06-12,
P1,2015-06-18,35.9
P2,2015-06-18,15.1
P7,2015-06-18,
P1,2015-06-23,22.5
P2,2015-06-23,10.7
P7,2015-06-23,
P1,2015-07-01,12.5
P2,2015-07-01,11.0
P7,2015-07-01,9.1
P1,2015-07-07,17.5
P2,2015-07-07,10.3
P7,2015-07-07,
P1,2015-07-14,7.5
P2,2015-07-14,7.5
P7,2015-07-14,
P1,2015-07-21,7.5
P2,2015-07-21,5.4
P7,2015-07-21,
P1,2015-07-28,22.5
P2,2015-07-28,20.2
P7,2015-07-28,
P1,2015-08-05,32.1
P2,2015-08-05,18.4
P7,2015-08-05,
P1,2015-08-11,48.0
P2,2015-08-11,17.1
P7,2015-08-11,
P1,2015-08-18,28.9
P2,2015-08-18,15.3
P7,2015-08-18,
P1,2015-08-25,57.8
P2,2015-08-25,18.2
P7,2015-08-25,
P1,2015-09-03,36.5
P2,2015-09-03,18.8
P7,2015-09-03,
P1,2015-09-09,39.1
P2,2015-09-09,30.7
P7,2015-09-09,
P1,2015-09-15,41.8
P2,2015-09-15,35.9
P7,2015-09-15,
P1,2015-09-22,31.7
P2,2015-09-22,48.3
P7,2015-09-22,
P1,2015-09-29,28.9
P2,2015-09-29,66.2
P7,2015-09-29,
P1,2015-10-08,7.7
P2,2015-10-08,30.4
P7,2015-10-08,1.3
P1,2015-10-14,5.6
P2,2015-10-14,20.4
P7,2015-10-14,
P1,2015-10-20,41.8
P2,2015-10-20,43.1
P7,2015-10-20,
P1,2015-10-27,46.5
P2,2015-10-27,41.1
P7,2015-10-27,
P1,2015-11-04,19.8
P2,2015-11-04,39.2
P7,2015-11-04,
P1,2015-11-10,30.8
P2,2015-11-10,22.2
P7,2015-11-10,
P1,2015-11-17,54.2
P2,2015-11-17,54.1
P7,2015-11-17,
P1,2015-11-24,52.7
P2,2015-11-24,54.5
P7,2015-11-24,
P1,2015-12-02,41.8
P2,2015-12-02,32.9
P7,2015-12-02,
P1,2015-12-08,45.7
P2,2015-12-08,21.0
P7,2015-12-08,
P1,2015-12-15,43.8
P2,2015-12-15,18.0
P7,2015-12-15,
P1,2015-01-07,12.7
P2,2015-01-07,5.5
P7,2015-01-07,31.9
P1,2015-01-13,7.5
P2,2015-01-13,1.6
P7,2015-01-13,
P1,2015-01-20,8.5
P2,2015-01-20,3.9
P7,2015-01-20,
P1,2015-01-27,13.2
P2,2015-01-27,2.5
P7,2015-01-27,
P1,2015-02-04,14.9
P2,2015-02-04,5.5
P7,2015-02-04,
P1,2015-02-10,8.9
P2,2015-02-10,5.9
P7,2015-02-10,
P1,2015-02-18,11.6
P2,2015-02-18,1.6
P7,2015-02-18,
P1,2015-02-24,12.4
P2,2015-02-24,12.6
P7,2015-02-24,
P1,2015-03-06,13.2
P2,2015-03-06,19.2
P7,2015-03-06,
P1,2015-03-10,14.3
P2,2015-03-10,13.6
P7,2015-03-10,
P1,2015-03-17,22.0
P2,2015-03-17,22.2
P7,2015-03-17,
P1,2015-03-24,21.3
P2,2015-03-24,12.8
P7,2015-03-24,
P1,2015-04-01,17.2
P2,2015-04-01,26.2
P7,2015-04-01,15.4
P1,2015-04-07,11.2
P2,2015-04-07,14.6
P7,2015-04-07,
P1,2015-04-14,24.5
P2,2015-04-14,24.1
P7,2015-04-14,
P1,2015-04-22,21.7
P2,2015-04-22,5.8
P7,2015-04-22,
P1,2015-04-28,25.8
P2,2015-04-28,13.9
P7,2015-04-28,
P1,2015-05-06,16.2
P2,2015-05-06,18.9
P7,2015-05-06,
P1,2015-05-12,18.3
P2,2015-05-12,10.9
P7,2015-05-12,
P1,2015-05-19,17.3
P2,2015-05-19,14.9
P7,2015-05-19,
P1,2015-05-26,23.6
P2,2015-05-26,12.2
P7,2015-05-26,
P1,2015-06-05,39.2
P2,2015-06-05,16.8
P7,2015-06-05,
P1,2015-06-12,30.1
P2,2015-06-12,14.7
P7,2015-06-12,
P1,2015-06-18,35.9
P2,2015-06-18,15.1
P7,2015-06-18,
P1,2015-06-23,22.5
P2,2015-06-23,10.7
P7,2015-06-23,
P1,2015-07-01,12.5
P2,2015-07-01,11.0
P7,2015-07-01,9.1
P1,2015-07-07,17.5
P2,2015-07-07,10.3
P7,2015-07-07,
P1,2015-07-14,7.5
P2,2015-07-14,7.5
P7,2015-07-14,
P1,2015-07-21,7.5
P2,2015-07-21,5.4
P7,2015-07-21,
P1,2015-07-28,22.5
P2,2015-07-28,20.2
P7,2015-07-28,
P1,2015-08-05,32.1
P2,2015-08-05,18.4
P7,2015-08-05,
P1,2015-08-11,48.0
P2,2015-08-11,17.1
P7,2015-08-11,
P1,2015-08-18,28.9
P2,2015-08-18,15.3
P7,2015-08-18,
P1,2015-08-25,57.8
P2,2015-08-25,18.2
P7,2015-08-25,
P1,2015-09-03,36.5
P2,2015-09-03,18.8
P7,2015-09-03,
P1,2015-09-09,39.1
P2,2015-09-09,30.7
P7,2015-09-09,
P1,2015-09-15,41.8
P2,2015-09-15,35.9
P7,2015-09-15,
P1,2015-09-22,31.7
P2,2015-09-22,48.3
P7,2015-09-22,
P1,2015-09-29,28.9
P2,2015-09-29,66.2
P7,2015-09-29,
P1,2015-10-08,7.7
P2,2015-10-08,30.4
P7,2015-10-08,1.3
P1,2015-10-14,5.6
P2,2015-10-14,20.4
P7,2015-10-14,
P1,2015-10-20,41.8
P2,2015-10-20,43.1
P7,2015-10-20,
P1,2015-10-27,46.5
P2,2015-10-27,41.1
P7,2015-10-27,
P1,2015-11-04,19.8
P2,2015-11-04,39.2
P7,2015-11-04,
P1,2015-11-10,30.8
P2,2015-11-10,22.2
P7,2015-11-10,
P1,2015-11-17,54.2
P2,2015-11-17,54.1
P7,2015-11-17,
P1,2015-11-24,52.7
P2,2015-11-24,54.5
P7,2015-11-24,
P1,2015-12-02,41.8
P2,2015-12-02,32.9
P7,2015-12-02,
P1,2015-12-08,45.7
P2,2015-12-08,21.0
P7,2015-12-08,
P1,2015-12-15,43.8
P2,2015-12-15,18.0
P7,2015-12-15,
P1,2016-01-06,22.5
P2,2016-01-06,19.7
P7,2016-01-06,1.18
P1,2016-01-12,28.7
P2,2016-01-12,12.3
P7,2016-01-12,
P1,2016-01-19,52.9
P2,2016-01-19,14.9
P7,2016-01-19,
P1,2016-01-26,42.1
P2,2016-01-26,18.0
P7,2016-01-26,
P1,2016-02-06,14.4
P2,2016-02-06,14.9
P7,2016-02-06,
P1,2016-02-11,25.3
P2,2016-02-11,1.3
P7,2016-02-11,
P1,2016-02-16,33.3
P2,2016-02-16,12.9
P7,2016-02-16,
P1,2016-02-23,44.4
P2,2016-02-23,11.6
P7,2016-02-23,
P1,2016-03-02,54.4
P2,2016-03-02,46.0
P7,2016-03-02,
P1,2016-03-08,73.3
P2,2016-03-08,33.0
P7,2016-03-08,
P1,2016-03-15,54.1
P2,2016-03-15,28.6
P7,2016-03-15,
P1,2016-03-22,47.1
P2,2016-03-22,37.7
P7,2016-03-22,
P1,2016-03-29,49.9
P2,2016-03-29,31.1
P7,2016-03-29,
P1,2016-04-06,38.3
P2,2016-04-06,45.8
P7,2016-04-06,5.4
P1,2016-04-12,43.9
P2,2016-04-12,40.6
P7,2016-04-12,
P1,2016-04-19,50.8
P2,2016-04-19,83.5
P7,2016-04-19,
P1,2016-04-26,13.5
P2,2016-04-26,36.5
P7,2016-04-26,
P1,2016-05-04,55.5
P2,2016-05-04,82.8
P7,2016-05-04,
P1,2016-05-10,53.0
P2,2016-05-10,78.8
P7,2016-05-10,
P1,2016-05-17,46.0
P2,2016-05-17,68.2
P7,2016-05-17,
P1,2016-05-24,62.1
P2,2016-05-24,81.1
P7,2016-05-24,
P1,2016-06-01,45.8
P2,2016-06-01,95.0
P7,2016-06-01,
P1,2016-06-07,63.3
P2,2016-06-07,88.5
P7,2016-06-07,
P1,2016-06-14,70.2
P2,2016-06-14,86.2
P7,2016-06-14,
P1,2016-07-21,38.1
P2,2016-07-21,58.4
P7,2016-07-21,
P1,2016-06-28,74.4
P2,2016-06-28,73.6
P7,2016-06-28,
P1,2016-07-06,21.8
P2,2016-07-06,49.7
P7,2016-07-06,48.3
P1,2016-07-12,16.1
P2,2016-07-12,21.0
P7,2016-07-12,
P1,2016-07-19,14.0
P2,2016-07-19,10.6
P7,2016-07-19,
P1,2016-07-26,14.5
P2,2016-07-26,6.7
P7,2016-07-26,
P1,2016-08-03,44.2
P2,2016-08-03,10.3
P7,2016-08-03,
P1,2016-08-09,20.6
P2,2016-08-09,23.7
P7,2016-08-09,
P1,2016-08-16,42.1
P2,2016-08-16,46.7
P7,2016-08-16,
P1,2016-08-23,25.8
P2,2016-08-23,65.6
P7,2016-08-23,
P1,2016-08-30,37.3
P2,2016-08-30,32.7
P7,2016-08-30,
P1,2016-09-08,55.2
P2,2016-09-08,13.8
P7,2016-09-08,
P1,2016-09-13,45.6
P2,2016-09-13,51.0
P7,2016-09-13,
P1,2016-09-22,41.7
P2,2016-09-22,21.3
P7,2016-09-22,
P1,2016-09-27,59.8
P2,2016-09-27,61.0
P7,2016-09-27,
P1,2016-10-05,39.9
P2,2016-10-05,80.2
P7,2016-10-05,7.9
P1,2016-10-11,27.4
P2,2016-10-11,42.8
P7,2016-10-11,
P1,2016-10-18,10.2
P2,2016-10-18,15.9
P7,2016-10-18,
P1,2016-10-25,29.9
P2,2016-10-25,40.5
P7,2016-10-25,
P1,2016-11-03,31.0
P2,2016-11-03,22.3
P7,2016-11-03,
P1,2016-11-08,34.1
P2,2016-11-08,32.4
P7,2016-11-08,
P1,2016-11-17,31.7
P2,2016-11-17,29.2
P7,2016-11-17,
P1,2016-11-22,39.4
P2,2016-11-22,44.7
P7,2016-11-22,
P1,2016-11-29,40.0
P2,2016-11-29,37.5
P7,2016-11-29,
P1,2016-12-07,31.9
P2,2016-12-07,23.6
P7,2016-12-07,
P1,2016-12-13,48.5
P2,2016-12-13,21.5
P7,2016-12-13,
P1,2016-12-20,25.8
P2,2016-12-20,16.8
P7,2016-12-20,
