ENTIDADE,DATA,NITROGÃŠNIO
P1,2016-01-06,22.5
P2,2016-01-06,19.7
P7,2016-01-06,1.18
P1,2016-01-12,28.7
P2,2016-01-12,12.3
P7,2016-01-12,
P1,2016-01-19,52.9
P2,2016-01-19,14.9
P7,2016-01-19,
P1,2016-01-26,42.1
P2,2016-01-26,18.0
P7,2016-01-26,
P1,2016-02-06,14.4
P2,2016-02-06,14.9
P7,2016-02-06,
P1,2016-02-11,25.3
P2,2016-02-11,1.3
P7,2016-02-11,
P1,2016-02-16,33.3
P2,2016-02-16,12.9
P7,2016-02-16,
P1,2016-02-23,44.4
P2,2016-02-23,11.6
P7,2016-02-23,
P1,2016-03-02,54.4
P2,2016-03-02,46.0
P7,2016-03-02,
P1,2016-03-08,73.3
P2,2016-03-08,33.0
P7,2016-03-08,
P1,2016-03-15,54.1
P2,2016-03-15,28.6
P7,2016-03-15,
P1,2016-03-22,47.1
P2,2016-03-22,37.7
P7,2016-03-22,
P1,2016-03-29,49.9
P2,2016-03-29,31.1
P7,2016-03-29,
P1,2016-04-06,38.3
P2,2016-04-06,45.8
P7,2016-04-06,5.4
P1,2016-04-12,43.9
P2,2016-04-12,40.6
P7,2016-04-12,
P1,2016-04-19,50.8
P2,2016-04-19,83.5
P7,2016-04-19,
P1,2016-04-26,13.5
P2,2016-04-26,36.5
P7,2016-04-26,
P1,2016-05-04,55.5
P2,2016-05-04,82.8
P7,2016-05-04,
P1,2016-05-10,53.0
P2,2016-05-10,78.8
P7,2016-05-10,
P1,2016-05-17,46.0
P2,2016-05-17,68.2
P7,2016-05-17,
P1,2016-05-24,62.1
P2,2016-05-24,81.1
P7,2016-05-24,
P1,2016-06-01,45.8
P2,2016-06-01,95.0
P7,2016-06-01,
P1,2016-06-07,63.3
P2,2016-06-07,88.5
P7,2016-06-07,
P1,2016-06-14,70.2
P2,2016-06-14,86.2
P7,2016-06-14,
P1,2016-07-21,38.1
P2,2016-07-21,58.4
P7,2016-07-21,
P1,2016-06-28,74.4
P2,2016-06-28,73.6
P7,2016-06-28,
P1,2016-07-06,21.8
P2,2016-07-06,49.7
P7,2016-07-06,48.3
P1,2016-07-12,16.1
P2,2016-07-12,21.0
P7,2016-07-12,
P1,2016-07-19,14.0
P2,2016-07-19,10.6
P7,2016-07-19,
P1,2016-07-26,14.5
P2,2016-07-26,6.7
P7,2016-07-26,
P1,2016-08-03,44.2
P2,2016-08-03,10.3
P7,2016-08-03,
P1,2016-08-09,20.6
P2,2016-08-09,23.7
P7,2016-08-09,
P1,2016-08-16,42.1
P2,2016-08-16,46.7
P7,2016-08-16,
P1,2016-08-23,25.8
P2,2016-08-23,65.6
P7,2016-08-23,
P1,2016-08-30,37.3
P2,2016-08-30,32.7
P7,2016-08-30,
P1,2016-09-08,55.2
P2,2016-09-08,13.8
P7,2016-09-08,
P1,2016-09-13,45.6
P2,2016-09-13,51.0
P7,2016-09-13,
P1,2016-09-22,41.7
P2,2016-09-22,21.3
P7,2016-09-22,
P1,2016-09-27,59.8
P2,2016-09-27,61.0
P7,2016-09-27,
P1,2016-10-05,39.9
P2,2016-10-05,80.2
P7,2016-10-05,7.9
P1,2016-10-11,27.4
P2,2016-10-11,42.8
P7,2016-10-11,
P1,2016-10-18,10.2
P2,2016-10-18,15.9
P7,2016-10-18,
P1,2016-10-25,29.9
P2,2016-10-25,40.5
P7,2016-10-25,
P1,2016-11-03,31.0
P2,2016-11-03,22.3
P7,2016-11-03,
P1,2016-11-08,34.1
P2,2016-11-08,32.4
P7,2016-11-08,
P1,2016-11-17,31.7
P2,2016-11-17,29.2
P7,2016-11-17,
P1,2016-11-22,39.4
P2,2016-11-22,44.7
P7,2016-11-22,
P1,2016-11-29,40.0
P2,2016-11-29,37.5
P7,2016-11-29,
P1,2016-12-07,31.9
P2,2016-12-07,23.6
P7,2016-12-07,
P1,2016-12-13,48.5
P2,2016-12-13,21.5
P7,2016-12-13,
P1,2016-12-20,25.8
P2,2016-12-20,16.8
P7,2016-12-20,
P1,2017-01-04,14.8
P2,2017-01-04,11.2
P7,2017-01-04,0.6
P1,2017-01-10,7.4
P2,2017-01-10,9.8
P7,2017-01-10,
P1,2017-01-17,20.3
P2,2017-01-17,6.5
P7,2017-01-17,
P1,2017-01-24,42.6
P2,2017-01-24,8.3
P7,2017-01-24,
P1,2017-02-01,8.5
P2,2017-02-01,19.2
P7,2017-02-01,
P1,2017-02-07,15.2
P2,2017-02-07,5.8
P7,2017-02-07,
P1,2017-02-14,32.4
P2,2017-02-14,6.8
P7,2017-02-14,
P1,2017-02-21,43.6
P2,2017-02-21,13.4
P7,2017-02-21,
P1,2017-03-01,68.2
P2,2017-03-01,51.5
P7,2017-03-01,
P1,2017-03-07,101.4
P2,2017-03-07,60.2
P7,2017-03-07,
P1,2017-03-14,46.9
P2,2017-03-14,33.8
P7,2017-03-14,
P1,2017-03-21,51.9
P2,2017-03-21,48.1
P7,2017-03-21,
P1,2017-03-28,53.0
P2,2017-03-28,46.1
P7,2017-03-28,
P1,2017-04-05,40.1
P2,2017-04-05,29.8
P7,2017-04-05,9.1
P1,2017-04-11,42.8
P2,2017-04-11,34.8
P7,2017-04-11,
P1,2017-04-14,84.2
P2,2017-04-14,30.0
P7,2017-04-14,
P1,2016-04-25,62.6
P2,2016-04-25,33.3
P7,2016-04-25,
P1,2017-05-03,88.6
P2,2017-05-03,27.0
P7,2017-05-03,
P1,2017-05-09,43.3
P2,2017-05-09,64.3
P7,2017-05-09,
P1,2017-05-16,64.0
P2,2017-05-16,36.8
P7,2017-05-16,
P1,2017-05-23,40.3
P2,2017-05-23,52.3
P7,2017-05-23,
P1,2017-05-30,59.6
P2,2017-05-30,73.3
P7,2017-05-30,
P1,2017-06-07,83.5
P2,2017-06-07,28.0
P7,2017-06-07,
P1,2017-06-13,65.3
P2,2017-06-13,20.8
P7,2017-06-13,
P1,2017-06-20,37.8
P2,2017-06-20,30.9
P7,2017-06-20,
P1,2017-06-27,41.8
P2,2017-06-27,34.4
P7,2017-06-27,
P1,2017-07-07,22.4
P2,2017-07-07,27.8
P7,2017-07-07,6.7
P1,2017-07-11,21.6
P2,2017-07-11,12.4
P7,2017-07-11,
P1,2017-07-18,42.4
P2,2017-07-18,17.4
P7,2017-07-18,
P1,2017-07-25,50.3
P2,2017-07-25,39.6
P7,2017-07-25,
P1,2017-08-02,24.2
P2,2017-08-02,45.6
P7,2017-08-02,
P1,2017-08-08,36.9
P2,2017-08-08,46.5
P7,2017-08-08,
P1,2017-08-15,54.7
P2,2017-08-15,52.3
P7,2017-08-15,
P1,2017-08-22,45.0
P2,2017-08-22,49.4
P7,2017-08-22,
P1,2017-08-29,33.9
P2,2017-08-29,71.9
P7,2017-08-29,
P1,2017-09-06,64.1
P2,2017-09-06,75.2
P7,2017-09-06,
P1,2017-09-12,47.8
P2,2017-09-12,44.3
P7,2017-09-12,
P1,2017-09-19,48.7
P2,2017-09-19,40.5
P7,2017-09-19,
P1,2017-09-26,67.6
P2,2017-09-26,57.2
P7,2017-09-26,
P1,2017-10-04,47.2
P2,2017-10-04,58.3
P7,2017-10-04,0.5
P1,2017-10-10,38.3
P2,2017-10-10,37.9
P7,2017-10-10,
P1,2017-10-17,29.0
P2,2017-10-17,39.8
P7,2017-10-17,
P1,2017-10-24,44.5
P2,2017-10-24,24.6
P7,2017-10-24,
P1,2017-11-01,19.7
P2,2017-11-01,47.5
P7,2017-11-01,
P1,2017-11-07,30.3
P2,2017-11-07,43.6
P7,2017-11-07,
P1,2017-11-14,24.4
P2,2017-11-14,29.5
P7,2017-11-14,
P1,2017-11-21,66.0
P2,2017-11-21,59.1
P7,2017-11-21,
P1,2017-11-28,44.1
P2,2017-11-28,45.0
P7,2017-11-28,
P1,2017-12-06,34.6
P2,2017-12-06,57.7
P7,2017-12-06,
P1,2017-12-12,18.8
P2,2017-12-12,46.1
P7,2017-12-12,
P1,2017-12-19,10.8
P2,2017-12-19,43.6
P7,2017-12-19,
P1,2017-01-04,14.8
P2,2017-01-04,11.2
P7,2017-01-04,0.6
P1,2017-01-10,7.4
P2,2017-01-10,9.8
P7,2017-01-10,
P1,2017-01-17,20.3
P2,2017-01-17,6.5
P7,2017-01-17,
P1,2017-01-24,42.6
P2,2017-01-24,8.3
P7,2017-01-24,
P1,2017-02-01,8.5
P2,2017-02-01,19.2
P7,2017-02-01,
P1,2017-02-07,15.2
P2,2017-02-07,5.8
P7,2017-02-07,
P1,2017-02-14,32.4
P2,2017-02-14,6.8
P7,2017-02-14,
P1,2017-02-21,43.6
P2,2017-02-21,13.4
P7,2017-02-21,
P1,2017-03-01,68.2
P2,2017-03-01,51.5
P7,2017-03-01,
P1,2017-03-07,101.4
P2,2017-03-07,60.2
P7,2017-03-07,
P1,2017-03-14,46.9
P2,2017-03-14,33.8
P7,2017-03-14,
P1,2017-03-21,51.9
P2,2017-03-21,48.1
P7,2017-03-21,
P1,2017-03-28,53.0
P2,2017-03-28,46.1
P7,2017-03-28,
P1,2017-04-05,40.1
P2,2017-04-05,29.8
P7,2017-04-05,9.1
P1,2017-04-11,42.8
P2,2017-04-11,34.8
P7,2017-04-11,
P1,2017-04-14,84.2
P2,2017-04-14,30.0
P7,2017-04-14,
P1,2016-04-25,62.6
P2,2016-04-25,33.3
P7,2016-04-25,
P1,2017-05-03,88.6
P2,2017-05-03,27.0
P7,2017-05-03,
P1,2017-05-09,43.3
P2,2017-05-09,64.3
P7,2017-05-09,
P1,2017-05-16,64.0
P2,2017-05-16,36.8
P7,2017-05-16,
P1,2017-05-23,40.3
P2,2017-05-23,52.3
P7,2017-05-23,
P1,2017-05-30,59.6
P2,2017-05-30,73.3
P7,2017-05-30,
P1,2017-06-07,83.5
P2,2017-06-07,28.0
P7,2017-06-07,
P1,2017-06-13,65.3
P2,2017-06-13,20.8
P7,2017-06-13,
P1,2017-06-20,37.8
P2,2017-06-20,30.9
P7,2017-06-20,
P1,2017-06-27,41.8
P2,2017-06-27,34.4
P7,2017-06-27,
P1,2017-07-07,22.4
P2,2017-07-07,27.8
P7,2017-07-07,6.7
P1,2017-07-11,21.6
P2,2017-07-11,12.4
P7,2017-07-11,
P1,2017-07-18,42.4
P2,2017-07-18,17.4
P7,2017-07-18,
P1,2017-07-25,50.3
P2,2017-07-25,39.6
P7,2017-07-25,
P1,2017-08-02,24.2
P2,2017-08-02,45.6
P7,2017-08-02,
P1,2017-08-08,36.9
P2,2017-08-08,46.5
P7,2017-08-08,
P1,2017-08-15,54.7
P2,2017-08-15,52.3
P7,2017-08-15,
P1,2017-08-22,45.0
P2,2017-08-22,49.4
P7,2017-08-22,
P1,2017-08-29,33.9
P2,2017-08-29,71.9
P7,2017-08-29,
P1,2017-09-06,64.1
P2,2017-09-06,75.2
P7,2017-09-06,
P1,2017-09-12,47.8
P2,2017-09-12,44.3
P7,2017-09-12,
P1,2017-09-19,48.7
P2,2017-09-19,40.5
P7,2017-09-19,
P1,2017-09-26,67.6
P2,2017-09-26,57.2
P7,2017-09-26,
P1,2017-10-04,47.2
P2,2017-10-04,58.3
P7,2017-10-04,0.5
P1,2017-10-10,38.3
P2,2017-10-10,37.9
P7,2017-10-10,
P1,2017-10-17,29.0
P2,2017-10-17,39.8
P7,2017-10-17,
P1,2017-10-24,44.5
P2,2017-10-24,24.6
P7,2017-10-24,
P1,2017-11-01,19.7
P2,2017-11-01,47.5
P7,2017-11-01,
P1,2017-11-07,30.3
P2,2017-11-07,43.6
P7,2017-11-07,
P1,2017-11-14,24.4
P2,2017-11-14,29.5
P7,2017-11-14,
P1,2017-11-21,66.0
P2,2017-11-21,59.1
P7,2017-11-21,
P1,2017-11-28,44.1
P2,2017-11-28,45.0
P7,2017-11-28,
P1,2017-12-06,34.6
P2,2017-12-06,57.7
P7,2017-12-06,
P1,2017-12-12,18.8
P2,2017-12-12,46.1
P7,2017-12-12,
P1,2017-12-19,10.8
P2,2017-12-19,43.6
P7,2017-12-19,
P1,2018-01-24,6.7
P2,2018-01-24,1.7
P7,2018-01-24,
P1,2018-01-30,7.8
P2,2018-01-30,1.6
P7,2018-01-30,
P1,2018-02-09,10.9
P2,2018-02-09,10.1
P7,2018-02-09,
P1,2018-02-15,12.6
P2,2018-02-15,12.5
P7,2018-02-15,
P1,2018-02-20,28.3
P2,2018-02-20,3.1
P7,2018-02-20,
P1,2018-02-27,57.1
P2,2018-02-27,52.6
P7,2018-02-27,
P1,2018-03-07,14.4
P2,2018-03-07,87.3
P7,2018-03-07,
P1,2018-03-13,27.0
P2,2018-03-13,62.4
P7,2018-03-13,
P1,2018-03-20,37.5
P2,2018-03-20,59.9
P7,2018-03-20,
P1,2018-03-27,52.3
P2,2018-03-27,59.2
P7,2018-03-27,
P1,2018-04-04,33.0
P2,2018-04-04,62.6
P7,2018-04-04,13.1
P1,2018-04-10,29.5
P2,2018-04-10,71.1
P7,2018-04-10,
P1,2018-04-17,43.0
P2,2018-04-17,63.3
P7,2018-04-17,
P1,2018-04-24,58.0
P2,2018-04-24,76.0
P7,2018-04-24,
P1,2018-05-02,46.3
P2,2018-05-02,65.3
P7,2018-05-02,
P1,2018-05-08,44.3
P2,2018-05-08,97.1
P7,2018-05-08,
P1,2018-05-15,68.0
P2,2018-05-15,70.5
P7,2018-05-15,
P1,2018-05-22,69.3
P2,2018-05-22,77.8
P7,2018-05-22,
P1,2018-06-06,23.3
P2,2018-06-06,83.8
P7,2018-06-06,
P1,2018-06-12,7.1
P2,2018-06-12,87.7
P7,2018-06-12,
P1,2018-06-19,56.5
P2,2018-06-19,80.8
P7,2018-06-19,
P1,2018-06-26,26.2
P2,2018-06-26,41.6
P7,2018-06-26,
P1,2018-07-04,20.5
P2,2018-07-04,52.5
P7,2018-07-04,21.0
P1,2018-07-10,6.2
P2,2018-07-10,28.9
P7,2018-07-10,
P1,2018-07-17,3.3
P2,2018-07-17,6.9
P7,2018-07-17,
P1,2018-07-24,10.8
P2,2018-07-24,16.0
P7,2018-07-24,
P1,2018-08-01,9.7
P2,2018-08-01,29.3
P7,2018-08-01,
P1,2018-08-07,41.0
P2,2018-08-07,65.4
P7,2018-08-07,
P1,2018-08-14,45.5
P2,2018-08-14,60.4
P7,2018-08-14,
P1,2018-08-21,28.9
P2,2018-08-21,17.6
P7,2018-08-21,
P1,2018-08-28,38.5
P2,2018-08-28,56.7
P7,2018-08-28,
P1,2018-09-05,26.0
P2,2018-09-05,46.1
P7,2018-09-05,
P1,2018-09-11,24.5
P2,2018-09-11,47.3
P7,2018-09-11,
P1,2018-09-18,54.6
P2,2018-09-18,63.0
P7,2018-09-18,
P1,2018-09-25,26.7
P2,2018-09-25,16.9
P7,2018-09-25,
P1,2018-10-03,4.4
P2,2018-10-03,13.5
P7,2018-10-03,1.8
P1,2018-10-09,14.6
P2,2018-10-09,25.0
P7,2018-10-09,
P1,2018-10-16,23.4
P2,2018-10-16,3.8
P7,2018-10-16,
P1,2018-10-23,44.5
P2,2018-10-23,27.4
P7,2018-10-23,
P1,2018-10-30,38.8
P2,2018-10-30,22.1
P7,2018-10-30,
P1,2018-11-07,16.4
P2,2018-11-07,35.1
P7,2018-11-07,
P1,2018-11-13,21.2
P2,2018-11-13,28.8
P7,2018-11-13,
P1,2018-11-20,23.7
P2,2018-11-20,19.7
P7,2018-11-20,
P1,2018-11-27,36.0
P2,2018-11-27,32.8
P7,2018-11-27,
P1,2018-12-05,16.3
P2,2018-12-05,20.7
P7,2018-12-05,
P1,2018-12-11,27.3
P2,2018-12-11,25.4
P7,2018-12-11,
P1,2018-12-18,19.6
P2,2018-12-18,23.9
P7,2018-12-18,
P1,2018-01-24,6.7
P2,2018-01-24,1.7
P7,2018-01-24,
P1,2018-01-30,7.8
P2,2018-01-30,1.6
P7,2018-01-30,
P1,2018-02-09,10.9
P2,2018-02-09,10.1
P7,2018-02-09,
P1,2018-02-15,12.6
P2,2018-02-15,12.5
P7,2018-02-15,
P1,2018-02-20,28.3
P2,2018-02-20,3.1
P7,2018-02-20,
P1,2018-02-27,57.1
P2,2018-02-27,52.6
P7,2018-02-27,
P1,2018-03-07,14.4
P2,2018-03-07,87.3
P7,2018-03-07,
P1,2018-03-13,27.0
P2,2018-03-13,62.4
P7,2018-03-13,
P1,2018-03-20,37.5
P2,2018-03-20,59.9
P7,2018-03-20,
P1,2018-03-27,52.3
P2,2018-03-27,59.2
P7,2018-03-27,
P1,2018-04-04,33.0
P2,2018-04-04,62.6
P7,2018-04-04,13.1
P1,2018-04-10,29.5
P2,2018-04-10,71.1
P7,2018-04-10,
P1,2018-04-17,43.0
P2,2018-04-17,63.3
P7,2018-04-17,
P1,2018-04-24,58.0
P2,2018-04-24,76.0
P7,2018-04-24,
P1,2018-05-02,46.3
P2,2018-05-02,65.3
P7,2018-05-02,
P1,2018-05-08,44.3
P2,2018-05-08,97.1
P7,2018-05-08,
P1,2018-05-15,68.0
P2,2018-05-15,70.5
P7,2018-05-15,
P1,2018-05-22,69.3
P2,2018-05-22,77.8
P7,2018-05-22,
P1,2018-06-06,23.3
P2,2018-06-06,83.8
P7,2018-06-06,
P1,2018-06-12,7.1
P2,2018-06-12,87.7
P7,2018-06-12,
P1,2018-06-19,56.5
P2,2018-06-19,80.8
P7,2018-06-19,
P1,2018-06-26,26.2
P2,2018-06-26,41.6
P7,2018-06-26,
P1,2018-07-04,20.5
P2,2018-07-04,52.5
P7,2018-07-04,21.0
P1,2018-07-10,6.2
P2,2018-07-10,28.9
P7,2018-07-10,
P1,2018-07-17,3.3
P2,2018-07-17,6.9
P7,2018-07-17,
P1,2018-07-24,10.8
P2,2018-07-24,16.0
P7,2018-07-24,
P1,2018-08-01,9.7
P2,2018-08-01,29.3
P7,2018-08-01,
P1,2018-08-07,41.0
P2,2018-08-07,65.4
P7,2018-08-07,
P1,2018-08-14,45.5
P2,2018-08-14,60.4
P7,2018-08-14,
P1,2018-08-21,28.9
P2,2018-08-21,17.6
P7,2018-08-21,
P1,2018-08-28,38.5
P2,2018-08-28,56.7
P7,2018-08-28,
P1,2018-09-05,26.0
P2,2018-09-05,46.1
P7,2018-09-05,
P1,2018-09-11,24.5
P2,2018-09-11,47.3
P7,2018-09-11,
P1,2018-09-18,54.6
P2,2018-09-18,63.0
P7,2018-09-18,
P1,2018-09-25,26.7
P2,2018-09-25,16.9
P7,2018-09-25,
P1,2018-10-03,4.4
P2,2018-10-03,13.5
P7,2018-10-03,1.8
P1,2018-10-09,14.6
P2,2018-10-09,25.0
P7,2018-10-09,
P1,2018-10-16,23.4
P2,2018-10-16,3.8
P7,2018-10-16,
P1,2018-10-23,44.5
P2,2018-10-23,27.4
P7,2018-10-23,
P1,2018-10-30,38.8
P2,2018-10-30,22.1
P7,2018-10-30,
P1,2018-11-07,16.4
P2,2018-11-07,35.1
P7,2018-11-07,
P1,2018-11-13,21.2
P2,2018-11-13,28.8
P7,2018-11-13,
P1,2018-11-20,23.7
P2,2018-11-20,19.7
P7,2018-11-20,
P1,2018-11-27,36.0
P2,2018-11-27,32.8
P7,2018-11-27,
P1,2018-12-05,16.3
P2,2018-12-05,20.7
P7,2018-12-05,
P1,2018-12-11,27.3
P2,2018-12-11,25.4
P7,2018-12-11,
P1,2018-12-18,19.6
P2,2018-12-18,23.9
P7,2018-12-18,
P1,2019-01-02,10.7
P2,2019-01-02,28.1
P7,2019-01-02,6.6
P1,2019-01-08,17.0
P2,2019-01-08,30.4
P7,2019-01-08,
P1,2019-01-15,22.9
P2,2019-01-15,38.6
P7,2019-01-15,
P1,2019-01-22,14.4
P2,2019-01-22,20.9
P7,2019-01-22,
P1,2019-01-29,25.6
P2,2019-01-29,27.3
P7,2019-01-29,
P1,2019-02-06,10.6
P2,2019-02-06,28.4
P7,2019-02-06,
P1,2019-02-12,11.0
P2,2019-02-12,19.1
P7,2019-02-12,
P1,2019-02-19,16.2
P2,2019-02-19,24.2
P7,2019-02-19,
P1,2019-02-26,59.0
P2,2019-02-26,58.3
P7,2019-02-26,
P1,2019-03-08,15.1
P2,2019-03-08,58.5
P7,2019-03-08,
P1,2019-03-12,20.1
P2,2019-03-12,62.9
P7,2019-03-12,
P1,2019-03-19,61.1
P2,2019-03-19,48.6
P7,2019-03-19,
P1,2019-03-26,55.2
P2,2019-03-26,67.5
P7,2019-03-26,
P1,2019-04-03,39.9
P2,2019-04-03,104.9
P7,2019-04-03,22.9
P1,2019-04-09,32.1
P2,2019-04-09,84.9
P7,2019-04-09,
P1,2019-04-16,34.5
P2,2019-04-16,41.5
P7,2019-04-16,
P1,2019-04-23,41.3
P2,2019-04-23,56.8
P7,2019-04-23,
P1,2019-05-03,26.4
P2,2019-05-03,62.9
P7,2019-05-03,
P1,2019-05-07,21.2
P2,2019-05-07,55.8
P7,2019-05-07,
P1,2019-05-14,31.0
P2,2019-05-14,43.3
P7,2019-05-14,
P1,2019-05-21,22.7
P2,2019-05-21,43.4
P7,2019-05-21,
P1,2019-05-28,14.7
P2,2019-05-28,17.7
P7,2019-05-28,
P1,2019-06-05,15.2
P2,2019-06-05,41.6
P7,2019-06-05,
P1,2019-06-11,18.3
P2,2019-06-11,44.9
P7,2019-06-11,
P1,2019-06-18,35.0
P2,2019-06-18,47.8
P7,2019-06-18,
P1,2019-06-25,39.2
P2,2019-06-25,45.0
P7,2019-06-25,
P1,2019-07-03,15.4
P2,2019-07-03,42.3
P7,2019-07-03,0.9
P1,2019-07-09,17.1
P2,2019-07-09,34.9
P7,2019-07-09,
P1,2019-07-16,53.5
P2,2019-07-16,44.9
P7,2019-07-16,
P1,2019-07-23,17.4
P2,2019-07-23,32.3
P7,2019-07-23,
P1,2019-07-30,9.1
P2,2019-07-30,16.8
P7,2019-07-30,
P1,2019-08-07,17.6
P2,2019-08-07,69.0
P7,2019-08-07,
P1,2019-08-13,14.7
P2,2019-08-13,34.0
P7,2019-08-13,
P1,2019-08-20,21.4
P2,2019-08-20,65.1
P7,2019-08-20,
P1,2019-08-27,41.0
P2,2019-08-27,58.4
P7,2019-08-27,
P1,2019-09-04,28.1
P2,2019-09-04,79.1
P7,2019-09-04,
P1,2019-09-10,39.4
P2,2019-09-10,85.6
P7,2019-09-10,
P1,2019-09-17,24.0
P2,2019-09-17,67.6
P7,2019-09-17,
P1,2019-09-24,48.6
P2,2019-09-24,74.6
P7,2019-09-24,
P1,2019-10-02,50.4
P2,2019-10-02,81.7
P7,2019-10-02,17.8
P1,2019-10-08,5.4
P2,2019-10-08,14.2
P7,2019-10-08,
P1,2019-10-16,34.3
P2,2019-10-16,43.2
P7,2019-10-16,
P1,2019-10-22,24.7
P2,2019-10-22,42.2
P7,2019-10-22,
P1,2019-10-29,24.0
P2,2019-10-29,47.0
P7,2019-10-29,
P1,2019-11-06,14.3
P2,2019-11-06,31.3
P7,2019-11-06,
P1,2019-11-12,26.3
P2,2019-11-12,28.3
P7,2019-11-12,
P1,2019-11-19,36.3
P2,2019-11-19,54.6
P7,2019-11-19,
P1,2019-11-26,36.1
P2,2019-11-26,57.1
P7,2019-11-26,
P1,2019-12-04,26.3
P2,2019-12-04,42.5
P7,2019-12-04,
P1,2019-12-10,32.1
P2,2019-12-10,44.3
P7,2019-12-10,
P1,2019-12-17,31.0
P2,2019-12-17,35.5
P7,2019-12-17,
