ENTIDADE,DATA,pH
P5,2016-12-07,9.9
P7,2016-12-07,
P1,2016-01-06,6.4
Pb,2016-01-06,7.4
Pc,2016-01-06,7.7
Pd,2016-01-06,7.8
P2,2016-01-06,7.8
P3,2016-01-06,7.0
P4,2016-01-06,6.8
P5,2016-01-06,9.5
P7,2016-01-06,7.6
P1,2016-02-05,6.8
Pb,2016-02-05,7.2
Pc,2016-02-05,7.7
Pd,2016-02-05,7.7
P2,2016-02-05,7.7
P3,2016-02-05,7.0
P4,2016-02-05,6.6
P5,2016-02-05,7.1
P7,2016-02-05,
P1,2016-03-02,6.9
Pb,2016-03-02,7.4
Pc,2016-03-02,7.6
Pd,2016-03-02,7.7
P2,2016-03-02,7.7
P3,2016-03-02,7.3
P4,2016-03-02,7.2
P5,2016-03-02,9.3
P7,2016-03-02,
P1,2016-04-06,6.4
Pb,2016-04-06,7.2
Pc,2016-04-06,7.3
Pd,2016-04-06,7.3
P2,2016-04-06,7.3
P3,2016-04-06,6.9
P4,2016-04-06,6.9
P5,2016-04-06,8.7
P7,2016-04-06,7.0
P1,2016-05-04,7.3
Pb,2016-05-04,
Pc,2016-05-04,
Pd,2016-05-04,
P2,2016-05-04,7.3
P3,2016-05-04,7.3
P4,2016-05-04,7.2
P5,2016-05-04,7.6
P7,2016-05-04,
P1,2016-06-01,7.1
Pb,2016-06-01,7.4
Pc,2016-06-01,8.4
Pd,2016-06-01,8.4
P2,2016-06-01,8.4
P3,2016-06-01,7.3
P4,2016-06-01,7.4
P5,2016-06-01,7.3
P7,2016-06-01,
P1,2016-07-06,7.0
Pb,2016-07-06,7.1
Pc,2016-07-06,7.5
Pd,2016-07-06,7.4
P2,2016-07-06,7.4
P3,2016-07-06,7.3
P4,2016-07-06,7.3
P5,2016-07-06,7.5
P7,2016-07-06,5.4
P1,2016-08-03,6.9
Pb,2016-08-03,7.0
Pc,2016-08-03,6.7
Pd,2016-08-03,6.7
P2,2016-08-03,6.5
P3,2016-08-03,7.1
P4,2016-08-03,7.3
P5,2016-08-03,6.8
P7,2016-08-03,
P1,2016-09-08,7.0
Pb,2016-09-08,7.1
Pc,2016-09-08,6.8
Pd,2016-09-08,7.4
P2,2016-09-08,7.4
P3,2016-09-08,7.2
P4,2016-09-08,7.3
P5,2016-09-08,7.3
P7,2016-09-08,
P1,2016-10-05,6.7
Pb,2016-10-05,7.4
Pc,2016-10-05,7.6
Pd,2016-10-05,7.5
P2,2016-10-05,7.6
P3,2016-10-05,7.2
P4,2016-10-05,7.1
P5,2016-10-05,8.3
P7,2016-10-05,6.1
P1,2016-11-03,7.0
Pb,2016-11-03,7.2
Pc,2016-11-03,7.3
Pd,2016-11-03,7.3
P2,2016-11-03,7.2
P3,2016-11-03,7.2
P4,2016-11-03,7.5
P5,2016-11-03,8.2
P7,2016-11-03,
P1,2016-12-07,6.6
Pb,2016-12-07,6.9
Pc,2016-12-07,6.3
Pd,2016-12-07,6.2
P2,2016-12-07,6.1
P3,2016-12-07,7.1
P4,2016-12-07,7.4
P5,2016-12-07,9.9
P7,2016-12-07,
P1,2017-01-04,6.7
Pb,2017-01-04,7.1
Pc,2017-01-04,6.9
Pd,2017-01-04,7.2
P2,2017-01-04,7.2
P3,2017-01-04,6.9
P4,2017-01-04,7.2
P5,2017-01-04,9.8
P7,2017-01-04,7.7
P1,2017-02-01,6.6
Pb,2017-02-01,7.1
Pc,2017-02-01,6.0
Pd,2017-02-01,7.4
P2,2017-02-01,7.4
P3,2017-02-01,7.1
P4,2017-02-01,7.7
P5,2017-02-01,7.7
P7,2017-02-01,
P1,2017-03-01,7.4
Pb,2017-03-01,7.2
Pc,2017-03-01,7.3
Pd,2017-03-01,7.5
P2,2017-03-01,7.5
P3,2017-03-01,7.4
P4,2017-03-01,7.4
P5,2017-03-01,9.6
P7,2017-03-01,
P1,2017-04-05,6.6
Pb,2017-04-05,7.3
Pc,2017-04-05,7.6
Pd,2017-04-05,7.3
P2,2017-04-05,7.2
P3,2017-04-05,7.4
P4,2017-04-05,7.8
P5,2017-04-05,7.6
P7,2017-04-05,4.9
P1,2017-05-03,6.6
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,6.8
P3,2017-05-03,7.0
P4,2017-05-03,7.3
P5,2017-05-03,7.8
P7,2017-05-03,
P1,2017-06-07,6.7
Pb,2017-06-07,7.2
Pc,2017-06-07,7.6
Pd,2017-06-07,7.7
P2,2017-06-07,7.7
P3,2017-06-07,7.3
P4,2017-06-07,7.2
P5,2017-06-07,7.0
P7,2017-06-07,
P1,2017-07-07,6.8
Pb,2017-07-07,7.0
Pc,2017-07-07,5.7
Pd,2017-07-07,7.6
P2,2017-07-07,7.6
P3,2017-07-07,7.3
P4,2017-07-07,7.5
P5,2017-07-07,7.7
P7,2017-07-07,8.4
P1,2017-08-02,6.7
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,6.8
P3,2017-08-02,7.1
P4,2017-08-02,7.5
P5,2017-08-02,8.1
P7,2017-08-02,
P1,2017-09-06,7.0
Pb,2017-09-06,7.3
Pc,2017-09-06,7.9
Pd,2017-09-06,7.9
P2,2017-09-06,7.9
P3,2017-09-06,7.3
P4,2017-09-06,7.4
P5,2017-09-06,7.5
P7,2017-09-06,
P1,2017-10-04,7.2
Pb,2017-10-04,7.4
Pc,2017-10-04,7.9
Pd,2017-10-04,7.9
P2,2017-10-04,7.9
P3,2017-10-04,7.2
P4,2017-10-04,7.7
P5,2017-10-04,9.7
P7,2017-10-04,8.1
P1,2017-11-01,6.5
Pb,2017-11-01,7.1
Pc,2017-11-01,7.4
Pd,2017-11-01,7.5
P2,2017-11-01,7.5
P3,2017-11-01,6.9
P4,2017-11-01,6.7
P5,2017-11-01,7.7
P7,2017-11-01,
P1,2017-12-06,6.6
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,6.6
P3,2017-12-06,6.9
P4,2017-12-06,7.0
P5,2017-12-06,8.1
P7,2017-12-06,
P1,2017-01-04,6.7
Pb,2017-01-04,7.1
Pc,2017-01-04,6.9
Pd,2017-01-04,7.2
P2,2017-01-04,7.2
P3,2017-01-04,6.9
P4,2017-01-04,7.2
P5,2017-01-04,9.8
P7,2017-01-04,7.7
P1,2017-02-01,6.6
Pb,2017-02-01,7.1
Pc,2017-02-01,6.0
Pd,2017-02-01,7.4
P2,2017-02-01,7.4
P3,2017-02-01,7.1
P4,2017-02-01,7.7
P5,2017-02-01,7.7
P7,2017-02-01,
P1,2017-03-01,7.4
Pb,2017-03-01,7.2
Pc,2017-03-01,7.3
Pd,2017-03-01,7.5
P2,2017-03-01,7.5
P3,2017-03-01,7.4
P4,2017-03-01,7.4
P5,2017-03-01,9.6
P7,2017-03-01,
P1,2017-04-05,6.6
Pb,2017-04-05,7.3
Pc,2017-04-05,7.6
Pd,2017-04-05,7.3
P2,2017-04-05,7.2
P3,2017-04-05,7.4
P4,2017-04-05,7.8
P5,2017-04-05,7.6
P7,2017-04-05,4.9
P1,2017-05-03,6.6
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,6.8
P3,2017-05-03,7.0
P4,2017-05-03,7.3
P5,2017-05-03,7.8
P7,2017-05-03,
P1,2017-06-07,6.7
Pb,2017-06-07,7.2
Pc,2017-06-07,7.6
Pd,2017-06-07,7.7
P2,2017-06-07,7.7
P3,2017-06-07,7.3
P4,2017-06-07,7.2
P5,2017-06-07,7.0
P7,2017-06-07,
P1,2017-07-07,6.8
Pb,2017-07-07,7.0
Pc,2017-07-07,5.7
Pd,2017-07-07,7.6
P2,2017-07-07,7.6
P3,2017-07-07,7.3
P4,2017-07-07,7.5
P5,2017-07-07,7.7
P7,2017-07-07,8.4
P1,2017-08-02,6.7
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,6.8
P3,2017-08-02,7.1
P4,2017-08-02,7.5
P5,2017-08-02,8.1
P7,2017-08-02,
P1,2017-09-06,7.0
Pb,2017-09-06,7.3
Pc,2017-09-06,7.9
Pd,2017-09-06,7.9
P2,2017-09-06,7.9
P3,2017-09-06,7.3
P4,2017-09-06,7.4
P5,2017-09-06,7.5
P7,2017-09-06,
P1,2017-10-04,7.2
Pb,2017-10-04,7.4
Pc,2017-10-04,7.9
Pd,2017-10-04,7.9
P2,2017-10-04,7.9
P3,2017-10-04,7.2
P4,2017-10-04,7.7
P5,2017-10-04,9.7
P7,2017-10-04,8.1
P1,2017-11-01,6.5
Pb,2017-11-01,7.1
Pc,2017-11-01,7.4
Pd,2017-11-01,7.5
P2,2017-11-01,7.5
P3,2017-11-01,6.9
P4,2017-11-01,6.7
P5,2017-11-01,7.7
P7,2017-11-01,
P1,2017-12-06,6.6
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,6.6
P3,2017-12-06,6.9
P4,2017-12-06,7.0
P5,2017-12-06,8.1
P7,2017-12-06,
P1,2018-01-24,6.6
Pb,2018-01-24,6.9
Pc,2018-01-24,6.3
Pd,2018-01-24,6.4
P2,2018-01-24,6.6
P3,2018-01-24,6.9
P4,2018-01-24,6.7
P5,2018-01-24,7.2
P7,2018-01-24,
P1,2018-02-15,6.6
Pb,2018-02-15,7.1
Pc,2018-02-15,6.6
Pd,2018-02-15,6.7
P2,2018-02-15,6.6
P3,2018-02-15,6.8
P4,2018-02-15,7.3
P5,2018-02-15,7.4
P7,2018-02-15,6.3
P1,2018-03-07,6.9
Pb,2018-03-07,
Pc,2018-03-07,
Pd,2018-03-07,
P2,2018-03-07,7.3
P3,2018-03-07,7.4
P4,2018-03-07,7.8
P5,2018-03-07,7.7
P7,2018-03-07,
P1,2018-04-04,7.0
Pb,2018-04-04,
Pc,2018-04-04,
Pd,2018-04-04,
P2,2018-04-04,7.4
P3,2018-04-04,7.4
P4,2018-04-04,7.6
P5,2018-04-04,8.7
P7,2018-04-04,6.0
P1,2018-05-02,7.4
Pb,2018-05-02,
Pc,2018-05-02,
Pd,2018-05-02,
P2,2018-05-02,7.2
P3,2018-05-02,7.5
P4,2018-05-02,7.6
P5,2018-05-02,9.6
P7,2018-05-02,
P1,2018-06-06,7.4
Pb,2018-06-06,
Pc,2018-06-06,
Pd,2018-06-06,
P2,2018-06-06,7.9
P3,2018-06-06,7.9
P4,2018-06-06,7.6
P5,2018-06-06,8.0
P7,2018-06-06,
P1,2018-07-04,6.8
Pb,2018-07-04,6.9
Pc,2018-07-04,8.0
Pd,2018-07-04,7.9
P2,2018-07-04,7.9
P3,2018-07-04,7.2
P4,2018-07-04,7.1
P5,2018-07-04,7.4
P7,2018-07-04,6.3
P1,2018-08-01,6.6
Pb,2018-08-01,
Pc,2018-08-01,
Pd,2018-08-01,
P2,2018-08-01,6.7
P3,2018-08-01,7.0
P4,2018-08-01,7.0
P5,2018-08-01,7.6
P7,2018-08-01,
P1,2018-09-05,6.7
Pb,2018-09-05,7.1
Pc,2018-09-05,8.3
Pd,2018-09-05,7.7
P2,2018-09-05,7.7
P3,2018-09-05,7.2
P4,2018-09-05,6.8
P5,2018-09-05,7.5
P7,2018-09-05,
P1,2018-10-03,6.7
Pb,2018-10-03,7.0
Pc,2018-10-03,7.2
Pd,2018-10-03,7.4
P2,2018-10-03,7.4
P3,2018-10-03,7.2
P4,2018-10-03,6.8
P5,2018-10-03,7.2
P7,2018-10-03,6.5
P1,2018-11-07,7.1
Pb,2018-11-07,7.4
Pc,2018-11-07,8.11
Pd,2018-11-07,8.0
P2,2018-11-07,8.1
P3,2018-11-07,7.5
P4,2018-11-07,7.7
P5,2018-11-07,8.3
P7,2018-11-07,
P1,2018-12-05,5.7
Pb,2018-12-05,6.3
Pc,2018-12-05,6.3
Pd,2018-12-05,6.9
P2,2018-12-05,6.6
P3,2018-12-05,6.1
P4,2018-12-05,4.4
P5,2018-12-05,7.2
P7,2018-12-05,
P1,2018-01-24,6.6
Pb,2018-01-24,6.9
Pc,2018-01-24,6.3
Pd,2018-01-24,6.4
P2,2018-01-24,6.6
P3,2018-01-24,6.9
P4,2018-01-24,6.7
P5,2018-01-24,7.2
P7,2018-01-24,
P1,2018-02-15,6.6
Pb,2018-02-15,7.1
Pc,2018-02-15,6.6
Pd,2018-02-15,6.7
P2,2018-02-15,6.6
P3,2018-02-15,6.8
P4,2018-02-15,7.3
P5,2018-02-15,7.4
P7,2018-02-15,6.3
P1,2018-03-07,6.9
Pb,2018-03-07,
Pc,2018-03-07,
Pd,2018-03-07,
P2,2018-03-07,7.3
P3,2018-03-07,7.4
P4,2018-03-07,7.8
P5,2018-03-07,7.7
P7,2018-03-07,
P1,2018-04-04,7.0
Pb,2018-04-04,
Pc,2018-04-04,
Pd,2018-04-04,
P2,2018-04-04,7.4
P3,2018-04-04,7.4
P4,2018-04-04,7.6
P5,2018-04-04,8.7
P7,2018-04-04,6.0
P1,2018-05-02,7.4
Pb,2018-05-02,
Pc,2018-05-02,
Pd,2018-05-02,
P2,2018-05-02,7.2
P3,2018-05-02,7.5
P4,2018-05-02,7.6
P5,2018-05-02,9.6
P7,2018-05-02,
P1,2018-06-06,7.4
Pb,2018-06-06,
Pc,2018-06-06,
Pd,2018-06-06,
P2,2018-06-06,7.9
P3,2018-06-06,7.9
P4,2018-06-06,7.6
P5,2018-06-06,8.0
P7,2018-06-06,
P1,2018-07-04,6.8
Pb,2018-07-04,6.9
Pc,2018-07-04,8.0
Pd,2018-07-04,7.9
P2,2018-07-04,7.9
P3,2018-07-04,7.2
P4,2018-07-04,7.1
P5,2018-07-04,7.4
P7,2018-07-04,6.3
P1,2018-08-01,6.6
Pb,2018-08-01,
Pc,2018-08-01,
Pd,2018-08-01,
P2,2018-08-01,6.7
P3,2018-08-01,7.0
P4,2018-08-01,7.0
P5,2018-08-01,7.6
P7,2018-08-01,
P1,2018-09-05,6.7
Pb,2018-09-05,7.1
Pc,2018-09-05,8.3
Pd,2018-09-05,7.7
P2,2018-09-05,7.7
P3,2018-09-05,7.2
P4,2018-09-05,6.8
P5,2018-09-05,7.5
P7,2018-09-05,
P1,2018-10-03,6.7
Pb,2018-10-03,7.0
Pc,2018-10-03,7.2
Pd,2018-10-03,7.4
P2,2018-10-03,7.4
P3,2018-10-03,7.2
P4,2018-10-03,6.8
P5,2018-10-03,7.2
P7,2018-10-03,6.5
P1,2018-11-07,7.1
Pb,2018-11-07,7.4
Pc,2018-11-07,8.11
Pd,2018-11-07,8.0
P2,2018-11-07,8.1
P3,2018-11-07,7.5
P4,2018-11-07,7.7
P5,2018-11-07,8.3
P7,2018-11-07,
P1,2018-12-05,5.7
Pb,2018-12-05,6.3
Pc,2018-12-05,6.3
Pd,2018-12-05,6.9
P2,2018-12-05,6.6
P3,2018-12-05,6.1
P4,2018-12-05,4.4
P5,2018-12-05,7.2
P7,2018-12-05,
P1,2019-01-02,6.5
Pb,2019-01-02,
Pc,2019-01-02,
Pd,2019-01-02,
P2,2019-01-02,13.6
P3,2019-01-02,23.8
P4,2019-01-02,27.8
P5,2019-01-02,18.9
P7,2019-01-02,14.8
P1,2019-02-06,6.6
Pb,2019-02-06,
Pc,2019-02-06,
Pd,2019-02-06,
P2,2019-02-06,7.2
P3,2019-02-06,7.1
P4,2019-02-06,7.3
P5,2019-02-06,8.7
P7,2019-02-06,
P1,2019-03-08,6.8
Pb,2019-03-08,
Pc,2019-03-08,
Pd,2019-03-08,
P2,2019-03-08,6.9
P3,2019-03-08,7.1
P4,2019-03-08,7.7
P5,2019-03-08,8.0
P7,2019-03-08,
P1,2017-04-03,6.8
Pb,2017-04-03,
Pc,2017-04-03,
Pd,2017-04-03,
P2,2017-04-03,6.9
P3,2017-04-03,7.3
P4,2017-04-03,7.5
P5,2017-04-03,7.6
P7,2017-04-03,7.0
P1,2019-05-03,7.2
Pb,2019-05-03,
Pc,2019-05-03,
Pd,2019-05-03,
P2,2019-05-03,7.2
P3,2019-05-03,7.4
P4,2019-05-03,7.6
P5,2019-05-03,7.6
P7,2019-05-03,
P1,2019-06-05,6.7
Pb,2019-06-05,
Pc,2019-06-05,
Pd,2019-06-05,
P2,2019-06-05,6.9
P3,2019-06-05,7.2
P4,2019-06-05,7.0
P5,2019-06-05,7.6
P7,2019-06-05,
P1,2019-07-03,6.4
Pb,2019-07-03,
Pc,2019-07-03,
Pd,2019-07-03,
P2,2019-07-03,6.3
P3,2019-07-03,6.6
P4,2019-07-03,7.1
P5,2019-07-03,7.2
P7,2019-07-03,7.7
P1,2019-08-07,6.9
Pb,2019-08-07,
Pc,2019-08-07,
Pd,2019-08-07,
P2,2019-08-07,7.3
P3,2019-08-07,7.2
P4,2019-08-07,7.5
P5,2019-08-07,7.7
P7,2019-08-07,
P1,2019-09-04,7.0
Pb,2019-09-04,
Pc,2019-09-04,
Pd,2019-09-04,
P2,2019-09-04,7.2
P3,2019-09-04,7.2
P4,2019-09-04,7.5
P5,2019-09-04,7.8
P7,2019-09-04,
P1,2019-10-02,6.8
Pb,2019-10-02,
Pc,2019-10-02,
Pd,2019-10-02,
P2,2019-10-02,6.7
P3,2019-10-02,7.0
P4,2019-10-02,7.2
P5,2019-10-02,8.4
P7,2019-10-02,7.5
P1,2019-11-06,6.7
Pb,2019-11-06,6.8
Pc,2019-11-06,7.2
Pd,2019-11-06,7.3
P2,2019-11-06,6.3
P3,2019-11-06,7.0
P4,2019-11-06,7.4
P5,2019-11-06,7.4
P7,2019-11-06,
P1,2019-12-04,6.5
Pb,2019-12-04,6.7
Pc,2019-12-04,7.1
Pd,2019-12-04,7.2
P2,2019-12-04,6.5
P3,2019-12-04,7.0
P4,2019-12-04,7.3
P5,2019-12-04,7.4
P7,2019-12-04,
