ENTIDADE,DATA,SURFACTANTES
P1,2013-01-22,1.21
P2,2013-01-22,0.21
P7,2013-01-22,
P1,2013-02-05,0.7
P2,2013-02-05,0.31
P7,2013-02-05,
P1,2013-03-12,1.17
P2,2013-03-12,0.37
P7,2013-03-12,
P1,2013-04-09,
P2,2013-04-09,
P7,2013-04-09,
P1,2013-05-14,1.8
P2,2013-05-14,0.49
P7,2013-05-14,
P1,2013-06-11,4.1
P2,2013-06-11,0.37
P7,2013-06-11,
P1,2013-07-09,2.1
P2,2013-07-09,0.6
P7,2013-07-09,
P1,2013-08-13,1.2
P2,2013-08-13,0.28
P7,2013-08-13,
P1,2013-09-10,1.3
P2,2013-09-10,0.15
P7,2013-09-10,
P1,2013-10-08,1.9
P2,2013-10-08,0.14
P7,2013-10-08,
P1,2013-11-12,
P2,2013-11-12,
P7,2013-11-12,
P1,2013-12-10,0.95
P2,2013-12-10,0.1
P7,2013-12-10,
P1,2014-01-14,1.32
P2,2014-01-14,0.11
P7,2014-01-14,
P1,2014-02-05,0.8
P2,2014-02-05,0.14
P7,2014-02-05,
P1,2014-03-11,1.1
P2,2014-03-11,0.1
P7,2014-03-11,
P1,2014-04-08,0.65
P2,2014-04-08,0.1
P7,2014-04-08,
P1,2014-05-13,0.98
P2,2014-05-13,0.17
P7,2014-05-13,
P1,2014-06-10,
P2,2014-06-10,
P7,2014-06-10,
P1,2014-07-08,1.27
P2,2014-07-08,0.1
P7,2014-07-08,
P1,2014-08-12,0.73
P2,2014-08-12,0.15
P7,2014-08-12,
P1,2014-09-09,0.21
P2,2014-09-09,0.1
P7,2014-09-09,
P1,2014-10-07,1.29
P2,2014-10-07,0.1
P7,2014-10-07,
P1,2014-11-11,1.48
P2,2014-11-11,0.1
P7,2014-11-11,
P1,2014-12-09,1.22
P2,2014-12-09,0.1
P7,2014-12-09,
P1,2014-01-14,1.32
P2,2014-01-14,0.11
P7,2014-01-14,
P1,2014-02-05,0.8
P2,2014-02-05,0.14
P7,2014-02-05,
P1,2014-03-11,1.1
P2,2014-03-11,0.1
P7,2014-03-11,
P1,2014-04-08,0.65
P2,2014-04-08,0.1
P7,2014-04-08,
P1,2014-05-13,0.98
P2,2014-05-13,0.17
P7,2014-05-13,
P1,2014-06-10,
P2,2014-06-10,
P7,2014-06-10,
P1,2014-07-08,1.27
P2,2014-07-08,0.1
P7,2014-07-08,
P1,2014-08-12,0.73
P2,2014-08-12,0.15
P7,2014-08-12,
P1,2014-09-09,0.21
P2,2014-09-09,0.1
P7,2014-09-09,
P1,2014-10-07,1.29
P2,2014-10-07,0.1
P7,2014-10-07,
P1,2014-11-11,1.48
P2,2014-11-11,0.1
P7,2014-11-11,
P1,2014-12-09,1.22
P2,2014-12-09,0.1
P7,2014-12-09,
P1,2015-01-13,0.91
P2,2015-01-13,0.1
P7,2015-01-13,0.47
P1,2015-02-10,1.04
P2,2015-02-10,0.1
P7,2015-02-10,
P1,2015-03-10,0.67
P2,2015-03-10,0.6
P7,2015-03-10,
P1,2015-04-07,0.82
P2,2015-04-07,0.9
P7,2015-04-07,0.64
P1,2015-05-12,1.02
P2,2015-05-12,0.16
P7,2015-05-12,
P1,2015-06-09,1.12
P2,2015-06-09,0.67
P7,2015-06-09,
P1,2015-07-07,1.45
P2,2015-07-07,0.8
P7,2015-07-07,0.2
P1,2015-08-11,1.3
P2,2015-08-11,0.1
P7,2015-08-11,
P1,2015-09-09,0.84
P2,2015-09-09,0.1
P7,2015-09-09,
P1,2015-10-01,0.15
P2,2015-10-01,0.42
P7,2015-10-01,0.1
P1,2015-11-05,0.52
P2,2015-11-05,0.1
P7,2015-11-05,
P1,2015-12-04,1.45
P2,2015-12-04,0.8
P7,2015-12-04,
P1,2015-01-13,0.91
P2,2015-01-13,0.1
P7,2015-01-13,0.47
P1,2015-02-10,1.04
P2,2015-02-10,0.1
P7,2015-02-10,
P1,2015-03-10,0.67
P2,2015-03-10,0.6
P7,2015-03-10,
P1,2015-04-07,0.82
P2,2015-04-07,0.9
P7,2015-04-07,0.64
P1,2015-05-12,1.02
P2,2015-05-12,0.16
P7,2015-05-12,
P1,2015-06-09,1.12
P2,2015-06-09,0.67
P7,2015-06-09,
P1,2015-07-07,1.45
P2,2015-07-07,0.8
P7,2015-07-07,0.2
P1,2015-08-11,1.3
P2,2015-08-11,0.1
P7,2015-08-11,
P1,2015-09-09,0.84
P2,2015-09-09,0.1
P7,2015-09-09,
P1,2015-10-01,0.15
P2,2015-10-01,0.42
P7,2015-10-01,0.1
P1,2015-11-05,0.52
P2,2015-11-05,0.1
P7,2015-11-05,
P1,2015-12-04,1.45
P2,2015-12-04,0.8
P7,2015-12-04,
P1,2016-01-12,0.64
P2,2016-01-12,0.1
P7,2016-01-12,0.1
P1,2016-02-11,0.38
P2,2016-02-11,0.1
P7,2016-02-11,
P1,2016-03-08,0.7
P2,2016-03-08,0.1
P7,2016-03-08,
P1,2016-04-12,1.6
P2,2016-04-12,0.11
P7,2016-04-12,0.1
P1,2016-05-10,0.84
P2,2016-05-10,2.03
P7,2016-05-10,
P1,2016-06-07,1.15
P2,2016-06-07,0.1
P7,2016-06-07,
P1,2016-07-12,1.0
P2,2016-07-12,2.4
P7,2016-07-12,0.12
P1,2016-08-09,1.1
P2,2016-08-09,0.17
P7,2016-08-09,
P1,2016-09-13,0.42
P2,2016-09-13,0.14
P7,2016-09-13,
P1,2016-10-11,0.63
P2,2016-10-11,0.1
P7,2016-10-11,0.1
P1,2016-11-08,0.74
P2,2016-11-08,0.1
P7,2016-11-08,
P1,2016-12-13,1.3
P2,2016-12-13,0.1
P7,2016-12-13,
P1,2016-01-12,0.64
P2,2016-01-12,0.1
P7,2016-01-12,0.1
P1,2016-02-11,0.38
P2,2016-02-11,0.1
P7,2016-02-11,
P1,2016-03-08,0.7
P2,2016-03-08,0.1
P7,2016-03-08,
P1,2016-04-12,1.6
P2,2016-04-12,0.11
P7,2016-04-12,0.1
P1,2016-05-10,0.84
P2,2016-05-10,2.03
P7,2016-05-10,
P1,2016-06-07,1.15
P2,2016-06-07,0.1
P7,2016-06-07,
P1,2016-07-12,1.0
P2,2016-07-12,2.4
P7,2016-07-12,0.12
P1,2016-08-09,1.1
P2,2016-08-09,0.17
P7,2016-08-09,
P1,2016-09-13,0.42
P2,2016-09-13,0.14
P7,2016-09-13,
P1,2016-10-11,0.63
P2,2016-10-11,0.1
P7,2016-10-11,0.1
P1,2016-11-08,0.74
P2,2016-11-08,0.1
P7,2016-11-08,
P1,2016-12-13,1.3
P2,2016-12-13,0.1
P7,2016-12-13,
P1,2017-01-10,0.29
P2,2017-01-10,0.1
P7,2017-01-10,0.22
P1,2017-02-07,0.43
P2,2017-02-07,0.1
P7,2017-02-07,
P1,2017-03-07,1.57
P2,2017-03-07,1.25
P7,2017-03-07,
P1,2017-04-11,1.96
P2,2017-04-11,0.11
P7,2017-04-11,0.1
P1,2017-05-09,1.94
P2,2017-05-09,2.06
P7,2017-05-09,
P1,2017-06-13,0.71
P2,2017-06-13,0.37
P7,2017-06-13,
P1,2017-07-11,1.67
P2,2017-07-11,0.1
P7,2017-07-11,1.16
P1,2017-08-08,1.01
P2,2017-08-08,1.44
P7,2017-08-08,
P1,2017-09-12,1.5
P2,2017-09-12,0.1
P7,2017-09-12,
P1,2017-10-10,1.13
P2,2017-10-10,0.11
P7,2017-10-10,
P1,2017-11-07,0.93
P2,2017-11-07,0.12
P7,2017-11-07,
P1,2017-12-12,0.97
P2,2017-12-12,1.47
P7,2017-12-12,
P1,2017-01-10,0.29
P2,2017-01-10,0.1
P7,2017-01-10,0.22
P1,2017-02-07,0.43
P2,2017-02-07,0.1
P7,2017-02-07,
P1,2017-03-07,1.57
P2,2017-03-07,1.25
P7,2017-03-07,
P1,2017-04-11,1.96
P2,2017-04-11,0.11
P7,2017-04-11,0.1
P1,2017-05-09,1.94
P2,2017-05-09,2.06
P7,2017-05-09,
P1,2017-06-13,0.71
P2,2017-06-13,0.37
P7,2017-06-13,
P1,2017-07-11,1.67
P2,2017-07-11,0.1
P7,2017-07-11,1.16
P1,2017-08-08,1.01
P2,2017-08-08,1.44
P7,2017-08-08,
P1,2017-09-12,1.5
P2,2017-09-12,0.1
P7,2017-09-12,
P1,2017-10-10,1.13
P2,2017-10-10,0.11
P7,2017-10-10,
P1,2017-11-07,0.93
P2,2017-11-07,0.12
P7,2017-11-07,
P1,2017-12-12,0.97
P2,2017-12-12,1.47
P7,2017-12-12,
P1,2018-01-30,0.51
P2,2018-01-30,0.1
P7,2018-01-30,
P1,2018-02-15,1.4
P2,2018-02-15,0.12
P7,2018-02-15,
P1,2018-03-13,1.0
P2,2018-03-13,1.95
P7,2018-03-13,
P1,2018-04-10,0.73
P2,2018-04-10,1.9
P7,2018-04-10,8.7
P1,2018-05-08,0.82
P2,2018-05-08,2.47
P7,2018-05-08,
P1,2018-06-12,0.5
P2,2018-06-12,2.6
P7,2018-06-12,
P1,2018-07-10,0.43
P2,2018-07-10,0.19
P7,2018-07-10,0.16
P1,2018-08-07,1.9
P2,2018-08-07,2.2
P7,2018-08-07,
P1,2018-09-11,1.14
P2,2018-09-11,0.13
P7,2018-09-11,
P1,2018-10-09,1.15
P2,2018-10-09,0.23
P7,2018-10-09,4.55
P1,2018-11-13,1.11
P2,2018-11-13,0.11
P7,2018-11-13,
P1,2018-12-11,1.07
P2,2018-12-11,1.7
P7,2018-12-11,
P1,2018-01-30,0.51
P2,2018-01-30,0.1
P7,2018-01-30,
P1,2018-02-15,1.4
P2,2018-02-15,0.12
P7,2018-02-15,
P1,2018-03-13,1.0
P2,2018-03-13,1.95
P7,2018-03-13,
P1,2018-04-10,0.73
P2,2018-04-10,1.9
P7,2018-04-10,8.7
P1,2018-05-08,0.82
P2,2018-05-08,2.47
P7,2018-05-08,
P1,2018-06-12,0.5
P2,2018-06-12,2.6
P7,2018-06-12,
P1,2018-07-10,0.43
P2,2018-07-10,0.19
P7,2018-07-10,0.16
P1,2018-08-07,1.9
P2,2018-08-07,2.2
P7,2018-08-07,
P1,2018-09-11,1.14
P2,2018-09-11,0.13
P7,2018-09-11,
P1,2018-10-09,1.15
P2,2018-10-09,0.23
P7,2018-10-09,4.55
P1,2018-11-13,1.11
P2,2018-11-13,0.11
P7,2018-11-13,
P1,2018-12-11,1.07
P2,2018-12-11,1.7
P7,2018-12-11,
P1,2019-01-08,0.87
P2,2019-01-08,0.93
P7,2019-01-08,0.38
P1,2019-02-12,0.62
P2,2019-02-12,0.66
P7,2019-02-12,
P1,2019-03-12,0.64
P2,2019-03-12,1.48
P7,2019-03-12,
P1,2019-04-09,1.46
P2,2019-04-09,2.17
P7,2019-04-09,3.48
P1,2019-05-07,0.67
P2,2019-05-07,1.51
P7,2019-05-07,
P1,2019-06-11,0.29
P2,2019-06-11,0.66
P7,2019-06-11,
P1,2019-07-09,1.7
P2,2019-07-09,2.0
P7,2019-07-09,7.2
P1,2019-08-13,0.64
P2,2019-08-13,1.24
P7,2019-08-13,
P1,2019-09-10,1.3
P2,2019-09-10,1.4
P7,2019-09-10,
P1,2019-10-08,0.6
P2,2019-10-08,1.65
P7,2019-10-08,0.14
P1,2019-11-12,0.56
P2,2019-11-12,1.52
P7,2019-11-12,
P1,2019-12-10,0.63
P2,2019-12-10,1.22
P7,2019-12-10,
