DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6- Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2013-01-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,x,As análises de DBO. SS e OG não foram realizadas em janeiro devido as férias da técnica do Lab. de Análise Ambiental,nan
2013-02-14,30.0,19.0,15.0,10.0,34.0,-0.1333333333333333,3.6,16.0,2.8,x,nan,nan
2013-03-06,116.0,59.0,45.0,22.0,16.0,0.8620689655172413,11.2,236.0,1.2,x,nan,nan
2013-04-03,168.0,39.0,32.0,9.0,19.0,0.8869047619047619,5.2,160.0,6.8,x,nan,nan
2013-05-08,248.0,82.0,54.0,22.0,24.0,0.9032258064516128,13.2,136.0,21.2,x,nan,nan
2013-06-05,132.0,57.0,24.0,17.0,20.0,0.8484848484848485,5.6,216.0,4.4,x,nan,nan
2013-07-03,200.0,43.0,31.0,24.0,50.0,0.785,7.6,172.0,6.0,x,nan,nan
2013-08-07,156.0,75.0,74.0,63.0,86.0,0.5192307692307692,7.2,164.0,19.2,x,nan,nan
2013-09-04,260.0,42.0,41.0,31.0,28.0,0.8384615384615385,14.0,76.0,3.2,x,nan,nan
2013-10-24,444.5,75.2,30.5,28.4,40.6,0.8308211473565804,31.0,193.0,41.7,x,nan,nan
2013-11-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,x,À pedido do responsável da empresa Ecovisual. não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção. pois estavam estragados.,nan
2013-12-04,172.0,20.0,37.0,28.0,24.0,0.8837209302325582,8.4,130.0,6.0,x,nan,nan
2014-01-08,168.0,33.0,19.0,24.0,21.5,0.8720238095238095,12.4,160.0,4.8,x,nan,nan
2014-02-05,78.0,25.0,20.0,19.0,20.0,0.7435897435897436,6.4,42.0,5.2,x,nan,nan
2014-03-06,98.0,17.0,8.0,7.0,7.0,0.9285714285714286,3.6,92.0,1.6,x,nan,nan
2014-04-02,156.0,33.0,19.0,50.0,22.0,0.858974358974359,19.0,60.0,7.6,x,nan,nan
2014-05-07,590.0,38.0,26.5,15.0,15.5,0.9737288135593221,10.4,74.0,3.2,x,nan,nan
2014-06-04,230.0,53.0,44.0,36.0,39.0,0.8304347826086956,9.2,132.0,1.2,x,nan,nan
2014-07-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido.,nan
2014-08-06,102.0,56.0,29.0,32.5,29.0,0.4509803921568627,18.8,76.0,11.4,x,nan,nan
2014-09-03,160.0,33.0,33.0,35.0,35.0,0.79375,11.8,76.0,2.0,x,nan,nan
2014-10-01,290.0,42.0,57.0,43.0,72.0,0.8551724137931034,16.0,52.0,6.4,x,nan,nan
2014-11-05,104.0,22.5,20.0,8.0,22.5,0.7836538461538461,7.0,22.0,1.8,x,nan,nan
2014-12-04,110.0,32.0,18.5,12.0,16.5,0.7090909090909091,19.0,83.0,13.6,nan,nan,nan
2014-01-08,168.0,33.0,19.0,24.0,21.5,0.8720238095238095,12.4,160.0,4.8,x,nan,nan
2014-02-05,78.0,25.0,20.0,19.0,20.0,0.7435897435897436,6.4,42.0,5.2,x,nan,nan
2014-03-06,98.0,17.0,8.0,7.0,7.0,0.9285714285714286,3.6,92.0,1.6,x,nan,nan
2014-04-02,156.0,33.0,19.0,50.0,22.0,0.858974358974359,19.0,60.0,7.6,x,nan,nan
2014-05-07,590.0,38.0,26.5,15.0,15.5,0.9737288135593221,10.4,74.0,3.2,x,nan,nan
2014-06-04,230.0,53.0,44.0,36.0,39.0,0.8304347826086956,9.2,132.0,1.2,x,nan,nan
2014-07-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido.,nan
2014-08-06,102.0,56.0,29.0,32.5,29.0,0.4509803921568627,18.8,76.0,11.4,x,nan,nan
2014-09-03,160.0,33.0,33.0,35.0,35.0,0.79375,11.8,76.0,2.0,x,nan,nan
2014-10-01,290.0,42.0,57.0,43.0,72.0,0.8551724137931034,16.0,52.0,6.4,x,nan,nan
2014-11-05,104.0,22.5,20.0,8.0,22.5,0.7836538461538461,7.0,22.0,1.8,x,nan,nan
2014-12-04,110.0,32.0,18.5,12.0,16.5,0.7090909090909091,19.0,83.0,13.6,nan,nan,nan
2015-01-07,130.0,2.5,14.5,26.0,4.5,0.9653846153846154,6.8,15.0,11.8,x,nan,62.7
2015-02-04,48.0,10.0,6.0,6.0,4.0,0.9166666666666666,4.6,48.0,1.8,x,nan,nan
2015-03-06,147.0,nan,nan,nan,43.0,0.7074829931972789,nan,nan,6.2,x,nan,nan
2015-04-01,360.0,nan,nan,nan,48.0,0.8666666666666667,4.4,97.0,6.0,x,nan,13.5
2015-05-06,280.0,60.0,76.0,28.0,32.0,0.8857142857142857,6.8,148.0,7.2,x,nan,nan
2015-06-03,331.0,nan,nan,nan,73.0,0.7794561933534743,17.0,128.0,9.0,x,nan,nan
2015-07-01,156.0,nan,nan,nan,68.0,0.5641025641025641,8.1,83.0,11.6,x,nan,nan
2015-08-05,131.0,39.0,8.5,15.0,11.0,0.916030534351145,9.0,50.0,4.7,x,nan,nan
2015-09-03,224.0,44.0,39.0,31.0,31.5,0.859375,8.6,104.0,12.8,x,nan,nan
2015-10-08,47.0,nan,nan,nan,22.9,0.5127659574468085,7.6,11.0,3.0,x,nan,10.3
2015-11-04,151.0,22.0,16.0,24.5,20.0,0.8543046357615894,6.6,70.0,21.0,x,nan,nan
2015-12-02,204.0,36.0,16.0,7.5,14.5,0.8235294117647058,12.0,188.0,52.0,x,nan,nan
2015-01-07,130.0,2.5,14.5,26.0,4.5,0.9653846153846154,6.8,15.0,11.8,x,nan,62.7
2015-02-04,48.0,10.0,6.0,6.0,4.0,0.9166666666666666,4.6,48.0,1.8,x,nan,nan
2015-03-06,147.0,nan,nan,nan,43.0,0.7074829931972789,nan,nan,6.2,x,nan,nan
2015-04-01,360.0,nan,nan,nan,48.0,0.8666666666666667,4.4,97.0,6.0,x,nan,13.5
2015-05-06,280.0,60.0,76.0,28.0,32.0,0.8857142857142857,6.8,148.0,7.2,x,nan,nan
2015-06-03,331.0,nan,nan,nan,73.0,0.7794561933534743,17.0,128.0,9.0,x,nan,nan
2015-07-01,156.0,nan,nan,nan,68.0,0.5641025641025641,8.1,83.0,11.6,x,nan,nan
2015-08-05,131.0,39.0,8.5,15.0,11.0,0.916030534351145,9.0,50.0,4.7,x,nan,nan
2015-09-03,224.0,44.0,39.0,31.0,31.5,0.859375,8.6,104.0,12.8,x,nan,nan
2015-10-08,47.0,nan,nan,nan,22.9,0.5127659574468085,7.6,11.0,3.0,x,nan,10.3
2015-11-04,151.0,22.0,16.0,24.5,20.0,0.8543046357615894,6.6,70.0,21.0,x,nan,nan
2015-12-02,204.0,36.0,16.0,7.5,14.5,0.8235294117647058,12.0,188.0,52.0,x,nan,nan
2016-01-06,203.0,15.0,13.5,8.5,10.5,0.9482758620689656,5.6,88.0,2.1,nan,nan,2.0
2016-02-05,82.0,11.8,9.9,9.1,16.0,0.8048780487804879,5.8,20.0,4.3,nan,nan,nan
2016-03-02,270.0,33.0,12.0,11.0,20.0,0.9259259259259259,9.5,120.0,4.9,nan,nan,nan
2016-04-06,192.0,17.6,7.1,6.3,7.0,0.9635416666666666,9.8,170.0,6.3,nan,nan,6.0
2016-05-04,256.0,nan,nan,nan,44.0,0.828125,10.6,136.0,7.4,nan,nan,nan
2016-06-01,200.0,51.0,17.6,15.6,35.5,0.8225,16.4,196.0,7.7,nan,nan,nan
2016-07-06,289.0,49.0,40.0,23.3,24.5,0.9152249134948096,15.6,106.0,20.0,nan,nan,2.0
2016-08-03,148.0,42.0,52.0,41.0,52.0,0.6486486486486487,6.8,184.0,19.6,nan,nan,nan
2016-09-08,190.0,36.0,50.0,20.0,26.0,0.8631578947368421,8.0,170.0,8.0,nan,nan,nan
2016-10-05,140.0,53.0,23.0,13.0,40.0,0.7142857142857143,5.2,110.0,2.8,nan,nan,1.2
2016-11-03,188.0,37.0,27.0,14.0,33.0,0.8031914893617021,27.2,550.0,7.2,nan,nan,nan
2016-12-07,144.0,41.0,63.0,27.0,10.0,0.7152777777777778,8.0,100.0,2.8,nan,nan,nan
2016-01-06,203.0,15.0,13.5,8.5,10.5,0.9482758620689656,5.6,88.0,2.1,nan,nan,2.0
2016-02-05,82.0,11.8,9.9,9.1,16.0,0.8048780487804879,5.8,20.0,4.3,nan,nan,nan
2016-03-02,270.0,33.0,12.0,11.0,20.0,0.9259259259259259,9.5,120.0,4.9,nan,nan,nan
2016-04-06,192.0,17.6,7.1,6.3,7.0,0.9635416666666666,9.8,170.0,6.3,nan,nan,6.0
2016-05-04,256.0,nan,nan,nan,44.0,0.828125,10.6,136.0,7.4,nan,nan,nan
2016-06-01,200.0,51.0,17.6,15.6,35.5,0.8225,16.4,196.0,7.7,nan,nan,nan
2016-07-06,289.0,49.0,40.0,23.3,24.5,0.9152249134948096,15.6,106.0,20.0,nan,nan,2.0
2016-08-03,148.0,42.0,52.0,41.0,52.0,0.6486486486486487,6.8,184.0,19.6,nan,nan,nan
2016-09-08,190.0,36.0,50.0,20.0,26.0,0.8631578947368421,8.0,170.0,8.0,nan,nan,nan
2016-10-05,140.0,53.0,23.0,13.0,40.0,0.7142857142857143,5.2,110.0,2.8,nan,nan,1.2
2016-11-03,188.0,37.0,27.0,14.0,33.0,0.8031914893617021,27.2,550.0,7.2,nan,nan,nan
2016-12-07,144.0,41.0,63.0,27.0,10.0,0.7152777777777778,8.0,100.0,2.8,nan,nan,nan
2017-01-04,180.0,19.0,33.0,13.0,58.0,0.6777777777777778,10.0,96.0,3.2,nan,nan,4.0
2017-02-01,24.0,23.0,4.0,8.0,10.0,0.5833333333333333,8.0,80.0,8.4,nan,nan,nan
2017-03-01,116.0,14.0,23.0,18.0,18.0,0.8448275862068966,9.2,228.0,5.2,nan,nan,nan
2017-04-05,132.0,62.0,45.0,16.0,30.0,0.7727272727272727,6.4,64.0,7.2,nan,nan,4.0
2017-05-03,132.0,nan,nan,nan,67.0,0.4924242424242424,10.4,580.0,7.0,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2017-06-07,224.0,46.0,24.0,23.0,11.0,0.9508928571428572,5.2,68.0,3.6,nan,nan,nan
2017-07-07,212.0,49.0,80.0,35.0,59.0,0.7216981132075472,12.0,240.0,5.6,nan,nan,75.0
2017-08-02,266.0,nan,nan,nan,96.0,0.6390977443609023,9.2,330.0,29.0,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2017-09-06,780.0,53.0,47.0,31.5,46.0,0.941025641025641,31.0,180.0,21.0,nan,nan,nan
2017-10-04,258.0,59.0,38.0,35.0,43.0,0.8333333333333334,7.6,188.0,5.2,nan,nan,11.0
2017-11-01,45.0,27.0,27.0,21.0,13.5,0.4,6.4,65.0,6.8,nan,nan,nan
2017-12-06,130.0,nan,nan,nan,51.0,0.6076923076923078,7.2,100.0,10.4,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2017-01-04,180.0,19.0,33.0,13.0,58.0,0.6777777777777778,10.0,96.0,3.2,nan,nan,4.0
2017-02-01,24.0,23.0,4.0,8.0,10.0,0.5833333333333333,8.0,80.0,8.4,nan,nan,nan
2017-03-01,116.0,14.0,23.0,18.0,18.0,0.8448275862068966,9.2,228.0,5.2,nan,nan,nan
2017-04-05,132.0,62.0,45.0,16.0,30.0,0.7727272727272727,6.4,64.0,7.2,nan,nan,4.0
2017-05-03,132.0,nan,nan,nan,67.0,0.4924242424242424,10.4,580.0,7.0,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2017-06-07,224.0,46.0,24.0,23.0,11.0,0.9508928571428572,5.2,68.0,3.6,nan,nan,nan
2017-07-07,212.0,49.0,80.0,35.0,59.0,0.7216981132075472,12.0,240.0,5.6,nan,nan,75.0
2017-08-02,266.0,nan,nan,nan,96.0,0.6390977443609023,9.2,330.0,29.0,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2017-09-06,780.0,53.0,47.0,31.5,46.0,0.941025641025641,31.0,180.0,21.0,nan,nan,nan
2017-10-04,258.0,59.0,38.0,35.0,43.0,0.8333333333333334,7.6,188.0,5.2,nan,nan,11.0
2017-11-01,45.0,27.0,27.0,21.0,13.5,0.4,6.4,65.0,6.8,nan,nan,nan
2017-12-06,130.0,nan,nan,nan,51.0,0.6076923076923078,7.2,100.0,10.4,nan,A coleta foi realizado no P6. CBR estava parado.,nan
2018-01-24,10.0,12.7,7.8,9.2,7.0,0.30000000000000004,6.4,4.0,11.6,nan,nan,nan
2018-02-09,40.0,20.0,31.0,21.0,50.0,-0.25,4.2,13.0,4.0,nan,nan,20.0
2018-03-07,42.0,nan,nan,nan,66.0,-0.5714285714285714,6.0,277.0,5.6,nan,nan,nan
2018-04-04,190.0,nan,nan,nan,66.0,0.6526315789473685,4.4,132.0,7.2,nan,nan,7.9
2018-05-02,134.0,nan,nan,nan,48.0,0.6417910447761195,7.7,340.0,6.7,nan,nan,nan
2018-06-06,190.0,nan,nan,nan,81.0,0.5736842105263158,11.2,79.0,9.0,nan,nan,nan
2018-07-04,138.0,62.0,30.0,23.0,18.5,0.8659420289855072,8.0,196.0,11.2,nan,nan,80.0
2018-08-01,70.0,nan,nan,nan,51.0,0.27142857142857146,5.4,78.0,8.0,nan,nan,nan
2018-09-05,148.0,50.0,52.0,58.0,26.0,0.8243243243243243,9.4,62.0,4.2,nan,nan,nan
2018-10-03,15.0,25.0,10.0,3.0,12.0,0.2,7.6,22.0,3.2,nan,nan,2.2
2018-11-07,108.5,53.0,67.0,18.0,43.0,0.511520737327189,11.6,100.0,20.0,nan,nan,nan
2018-12-05,96.0,31.0,26.0,16.0,17.0,0.8229166666666666,7.6,156.0,10.0,nan,nan,nan
2018-01-24,10.0,12.7,7.8,9.2,7.0,0.30000000000000004,6.4,4.0,11.6,nan,nan,nan
2018-02-09,40.0,20.0,31.0,21.0,50.0,-0.25,4.2,13.0,4.0,nan,nan,20.0
2018-03-07,42.0,nan,nan,nan,66.0,-0.5714285714285714,6.0,277.0,5.6,nan,nan,nan
2018-04-04,190.0,nan,nan,nan,66.0,0.6526315789473685,4.4,132.0,7.2,nan,nan,7.9
2018-05-02,134.0,nan,nan,nan,48.0,0.6417910447761195,7.7,340.0,6.7,nan,nan,nan
2018-06-06,190.0,nan,nan,nan,81.0,0.5736842105263158,11.2,79.0,9.0,nan,nan,nan
2018-07-04,138.0,62.0,30.0,23.0,18.5,0.8659420289855072,8.0,196.0,11.2,nan,nan,80.0
2018-08-01,70.0,nan,nan,nan,51.0,0.27142857142857146,5.4,78.0,8.0,nan,nan,nan
2018-09-05,148.0,50.0,52.0,58.0,26.0,0.8243243243243243,9.4,62.0,4.2,nan,nan,nan
2018-10-03,15.0,25.0,10.0,3.0,12.0,0.2,7.6,22.0,3.2,nan,nan,2.2
2018-11-07,108.5,53.0,67.0,18.0,43.0,0.511520737327189,11.6,100.0,20.0,nan,nan,nan
2018-12-05,96.0,31.0,26.0,16.0,17.0,0.8229166666666666,7.6,156.0,10.0,nan,nan,nan
2019-01-02,50.0,nan,nan,nan,36.0,0.28,9.8,42.0,5.4,nan,nan,10.5
2019-02-06,12.5,nan,nan,nan,5.0,0.6,8.6,45.0,5.6,nan,nan,nan
2019-03-08,55.0,nan,nan,nan,24.0,0.5636363636363637,4.0,200.0,7.2,nan,nan,nan
2019-04-03,112.0,nan,nan,nan,76.0,0.3214285714285714,8.0,300.0,8.0,nan,nan,61.0
2019-05-03,36.0,nan,nan,nan,54.0,-0.5,1.2,40.0,1.4,nan,nan,nan
2019-06-05,56.0,nan,nan,nan,70.0,-0.25,23.0,64.0,7.8,nan,nan,nan
2019-07-03,52.0,nan,nan,nan,89.0,-0.7115384615384615,11.2,216.0,8.0,nan,nan,17.0
2019-08-07,44.0,nan,nan,nan,68.0,-0.5454545454545454,7.1,228.0,13.4,nan,nan,nan
2019-09-04,113.0,nan,nan,nan,72.0,0.3628318584070797,6.0,236.0,10.6,nan,nan,nan
2019-10-02,216.0,nan,nan,nan,90.0,0.5833333333333333,10.0,420.0,13.2,nan,nan,18.4
2019-11-06,93.0,43.0,20.0,16.0,2.0,0.978494623655914,6.1,75.0,5.7,nan,nan,nan
2019-12-04,136.0,54.0,15.0,27.0,11.5,0.9154411764705882,1.2,184.0,3.5,nan,nan,nan
