DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,LABORATÓRIO ALAC,OBSERVAÇÕES
2013-01-07,241960.0,29090.0,0.8797735162836833,23590.0,198630.0,100.0,x,nan
2013-02-05,613100.0,25900.0,0.9577556679171424,6200.0,214300.0,4100,x,nan
2013-03-05,2419600.0,36400.0,0.9849561911059681,2650.0,241960.0,2780,x,nan
2013-04-02,241960.0,92080.0,0.6194412299553645,2160.0,241960.0,250,x,nan
2013-05-07,1299700.0,104620.0,0.9195045010387012,141360.0,241960.0,3840,x,nan
2013-06-04,2419600.0,98500.0,0.9592907918664242,13400.0,2419600.0,4100,x,nan
2013-07-02,2419600.0,92080.0,0.9619441229955364,129970.0,648800.0,41600,x,nan
2013-08-06,2419600.0,119800.0,0.9504876839146966,9800.0,3100.0,1119900,x,nan
2013-09-03,2419600.0,261300.0,0.8920069432964126,141360.0,1553100.0,9870,x,nan
2013-10-01,2419600.0,261300.0,0.8920069432964126,141360.0,1553100.0,9870,x,nan
2013-11-05,241960.0,nan,1.0,57940.0,241960.0,34480,x,Conforme a Declaração ALAC de 13/nov. não houve coleta de efluente no P2 devido a falta de vazão.
2013-12-03,24196000.0,67000.0,0.9972309472640106,118700.0,4352000.0,14800,x,nan
2014-01-07,24196000.0,67000.0,0.9972309472640106,118700.0,4352000.0,14800,x,nan
2014-02-05,613100.0,77010.0,0.8743924319034415,648800.0,241960.0,100,x,nan
2014-03-05,1553100.0,198630.0,0.8721073981070118,870400.0,177000.0,40400,x,nan
2014-04-02,24196000.0,4100.0,0.9998305505042157,2000.0,4106000.0,2000,x,nan
2014-05-07,198630.0,241960.0,-0.21814428837537125,41060.0,2419600.0,1890,x,nan
2014-06-04,2419600.0,86700.0,0.9641676310133906,3310.0,2419600.0,4260,x,nan
2014-07-07,14136000.0,nan,1.0,7701000.0,2489000.0,189000,x,No mês de julho o Lab. de ALAC não realizou coleta no P2. justificativa consta no laudo emitido.
2014-08-06,nan,nan,nan,5200.0,14136000.0,5200,x,nan
2014-09-03,2419600.0,24810.0,0.9897462390477764,3050.0,2419600.0,2280,x,nan
2014-10-01,24196000.0,73000.0,0.996982972392131,12200.0,1203300.0,16900,x,Coleta realizada em 20/10/14
2014-11-05,19863000.0,663000.0,0.9666213562905904,105000.0,762000.0,8600,x,nan
2014-12-03,15531000.0,41000.0,0.997360118472732,5200.0,3654000.0,1000,x,nan
2014-01-07,24196000.0,67000.0,0.9972309472640106,118700.0,4352000.0,14800,x,nan
2014-02-05,613100.0,77010.0,0.8743924319034415,648800.0,241960.0,100,x,nan
2014-03-05,1553100.0,198630.0,0.8721073981070118,870400.0,177000.0,40400,x,nan
2014-04-02,24196000.0,4100.0,0.9998305505042157,2000.0,4106000.0,2000,x,nan
2014-05-07,198630.0,241960.0,-0.21814428837537125,41060.0,2419600.0,1890,x,nan
2014-06-04,2419600.0,86700.0,0.9641676310133906,3310.0,2419600.0,4260,x,nan
2014-07-07,14136000.0,nan,1.0,7701000.0,2489000.0,189000,x,No mês de julho o Lab. de ALAC não realizou coleta no P2. justificativa consta no laudo emitido.
2014-08-06,nan,nan,nan,5200.0,14136000.0,5200,x,nan
2014-09-03,2419600.0,24810.0,0.9897462390477764,3050.0,2419600.0,2280,x,nan
2014-10-01,24196000.0,73000.0,0.996982972392131,12200.0,1203300.0,16900,x,Coleta realizada em 20/10/14
2014-11-05,19863000.0,663000.0,0.9666213562905904,105000.0,762000.0,8600,x,nan
2014-12-03,15531000.0,41000.0,0.997360118472732,5200.0,3654000.0,1000,x,nan
2015-01-12,24196000.0,624000.0,0.9742106133245164,63000.0,3654000.0,1162000,x,nan
2015-02-09,111990.0,12100.0,0.8919546388070363,1220.0,111990.0,20460,x,nan
2015-03-10,12997000.0,624000.0,0.95198892052012,42500.0,1119900.0,93300,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-04-08,1986300.0,111990.0,0.9436187887026128,81600.0,1119900.0,77100,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-05-12,111990.0,11870.0,0.894008393606572,11620.0,198630.0,16070,x,nan
2015-06-09,12997000.0,111990.0,0.9913833961683466,30900.0,1106000.0,9800,x,nan
2015-07-07,920800.0,461100.0,0.4992397914856647,272300.0,547500.0,2000,x,nan
2015-08-11,3255000.0,11870.0,0.9963533026113672,133300.0,307600.0,214300,x,nan
2015-09-03,6488000.0,24300.0,0.9962546239210852,77600.0,435200.0,27500,x,nan
2015-10-01,12033000.0,1236000.0,0.8972824731987036,47300.0,11000.0,18900,x,nan
2015-11-05,10462000.0,12740.0,0.9987822596061938,261300.0,60200.0,275500,x,nan
2015-12-03,241900000.0,48800000.0,0.7982637453493179,16200000.0,14200000.0,3700000,x,nan
2015-01-12,24196000.0,624000.0,0.9742106133245164,63000.0,3654000.0,1162000,x,nan
2015-02-09,111990.0,12100.0,0.8919546388070363,1220.0,111990.0,20460,x,nan
2015-03-10,12997000.0,624000.0,0.95198892052012,42500.0,1119900.0,93300,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-04-08,1986300.0,111990.0,0.9436187887026128,81600.0,1119900.0,77100,x,CBR estava paralizado neste dia. Amostragem do ponto de saída realizada no P6.
2015-05-12,111990.0,11870.0,0.894008393606572,11620.0,198630.0,16070,x,nan
2015-06-09,12997000.0,111990.0,0.9913833961683466,30900.0,1106000.0,9800,x,nan
2015-07-07,920800.0,461100.0,0.4992397914856647,272300.0,547500.0,2000,x,nan
2015-08-11,3255000.0,11870.0,0.9963533026113672,133300.0,307600.0,214300,x,nan
2015-09-03,6488000.0,24300.0,0.9962546239210852,77600.0,435200.0,27500,x,nan
2015-10-01,12033000.0,1236000.0,0.8972824731987036,47300.0,11000.0,18900,x,nan
2015-11-05,10462000.0,12740.0,0.9987822596061938,261300.0,60200.0,275500,x,nan
2015-12-03,241900000.0,48800000.0,0.7982637453493179,16200000.0,14200000.0,3700000,x,nan
2016-01-07,130000.0,33000.0,0.7461538461538462,230.0,49000.0,2000,nan,nan
2016-02-04,170000.0,79000.0,0.5352941176470588,130.0,33000.0,1100,nan,Coleta realizada no P6.
2016-03-03,230000.0,1.8,0.9999921739130436,78.0,350000.0,330,nan,nan
2016-04-07,340000.0,1.8,0.9999947058823532,1.8,130000.0,220,nan,nan
2016-05-05,220000.0,1.08,0.9999950909090908,68.0,49000.0,170,nan,Coleta realizada no P6.
2016-06-02,41000.0,3500.0,0.9146341463414634,3500.0,33000.0,3500,nan,nan
2016-07-07,27000.0,490.0,0.9818518518518521,130.0,23000.0,1300,nan,nan
2016-08-04,13000.0,230.0,0.9823076923076924,170.0,34000.0,790,nan,nan
2016-09-01,7900.0,270.0,0.9658227848101266,130.0,13000.0,330,nan,nan
2016-10-06,9400.0,220.0,0.9765957446808512,790.0,1700.0,490,nan,nan
2016-11-03,4900.0,170.0,0.9653061224489796,270.0,1300.0,460,nan,nan
2016-12-01,3300.0,1100.0,0.6666666666666667,340.0,1100.0,320,nan,nan
2016-01-07,130000.0,33000.0,0.7461538461538462,230.0,49000.0,2000,nan,nan
2016-02-04,170000.0,79000.0,0.5352941176470588,130.0,33000.0,1100,nan,Coleta realizada no P6.
2016-03-03,230000.0,1.8,0.9999921739130436,78.0,350000.0,330,nan,nan
2016-04-07,340000.0,1.8,0.9999947058823532,1.8,130000.0,220,nan,nan
2016-05-05,220000.0,1.08,0.9999950909090908,68.0,49000.0,170,nan,Coleta realizada no P6.
2016-06-02,41000.0,3500.0,0.9146341463414634,3500.0,33000.0,3500,nan,nan
2016-07-07,27000.0,490.0,0.9818518518518521,130.0,23000.0,1300,nan,nan
2016-08-04,13000.0,230.0,0.9823076923076924,170.0,34000.0,790,nan,nan
2016-09-01,7900.0,270.0,0.9658227848101266,130.0,13000.0,330,nan,nan
2016-10-06,9400.0,220.0,0.9765957446808512,790.0,1700.0,490,nan,nan
2016-11-03,4900.0,170.0,0.9653061224489796,270.0,1300.0,460,nan,nan
2016-12-01,3300.0,1100.0,0.6666666666666667,340.0,1100.0,320,nan,nan
2017-01-12,130000.0,23000.0,0.823076923076923,45.0,240000.0,130,nan,nan
2017-02-09,340000.0,46000.0,0.8647058823529412,490.0,240000.0,170,nan,nan
2017-03-09,460000.0,49000.0,0.8934782608695653,790.0,280000.0,210,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-04-06,330000.0,40000.0,0.8787878787878788,700.0,350000.0,320,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-05-11,390000.0,47000.0,0.8794871794871795,1300.0,540000.0,700,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-06-08,1300000.0,22000.0,0.9830769230769232,9200.0,7800.0,1300,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-07-13,790000.0,28000.0,0.9645569620253164,5400.0,14000.0,1100,nan,nan
2017-08-10,700000.0,17000.0,0.9757142857142858,3500.0,1700.0,1300,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-09-14,940000.0,14000.0,0.9851063829787234,2800.0,1400.0,1100,nan,nan
2017-10-05,110000.0,17000.0,0.8454545454545455,22000.0,1700.0,790,nan,nan
2017-11-09,170000.0,11000.0,0.9352941176470588,17000.0,1300.0,940,nan,nan
2017-12-07,940000.0,14000.0,0.9851063829787234,2800.0,1400.0,1100,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-01-12,130000.0,23000.0,0.823076923076923,45,240000.0,130,nan,nan
2017-02-09,340000.0,46000.0,0.8647058823529412,490,240000.0,170,nan,nan
2017-03-09,460000.0,49000.0,0.8934782608695653,790,280000.0,210,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-04-06,330000.0,40000.0,0.8787878787878788,700,350000.0,320,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-05-11,390000.0,47000.0,0.8794871794871795,1300,540000.0,700,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-06-08,1300000.0,22000.0,0.9830769230769232,9200,7800.0,1300,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-07-13,790000.0,28000.0,0.9645569620253164,5400,14000.0,1100,nan,nan
2017-08-10,700000.0,17000.0,0.9757142857142858,3500,1700.0,1300,nan,Coleta foi realizada no P6. CBR em manutenção.
2017-09-14,940000.0,14000.0,0.9851063829787234,2800,1400.0,1100,nan,nan
2017-10-05,110000.0,17000.0,0.8454545454545455,22000,1700.0,790,nan,nan
2017-11-09,170000.0,11000.0,0.9352941176470588,17000,1300.0,940,nan,nan
2017-12-07,940000.0,14000.0,0.9851063829787234,2800,1400.0,1100,nan,Coleta foi realizada no P6. CBR em manutenção.
2018-01-11,230000.0,54000.0,0.7652173913043478,11000,920000.0,220.00000000000003,nan,nan
2018-02-08,330000.0,490.00000000000006,0.9985151515151516,45,1600000.0,2000,nan,nan
2018-03-08,220000.0,240000.0,-0.09090909090909084,140000,170000.0,390,nan,nan
2018-04-19,540000.0,350000.0,0.35185185185185186,330,9200000.0,270,nan,nan
2018-05-11,490000.0,110000.0,0.7755102040816326,490,230000.0,490,nan,nan
2018-06-14,2400000.0,78.0,0.9999675,9200000,1300.0,240000,nan,nan
2018-07-12,130000.0,70000.0,0.4615384615384616,68,790000.0,490,nan,nan
2018-08-09,170000.0,460.0,0.9972941176470588,45,490000.0,330,nan,nan
2018-09-13,16000000.0,9200.0,0.999425,110,490000.0,20,nan,nan
2018-10-11,780000.0,9200.0,0.9882051282051282,1.8,490000.0,20,nan,nan
2018-11-08,1100000.0,3500.0,0.9968181818181818,20,330000.0,130,nan,nan
2018-12-13,1600000.0,33000.0,0.979375,490,490000.0,1.8,nan,nan
2018-01-11,230000.0,54000.0,0.7652173913043478,11000,920000.0,220.00000000000003,nan,nan
2018-02-08,330000.0,490.00000000000006,0.9985151515151516,45,1600000.0,2000,nan,nan
2018-03-08,220000.0,240000.0,-0.09090909090909084,140000,170000.0,390,nan,nan
2018-04-19,540000.0,350000.0,0.35185185185185186,330,9200000.0,270,nan,nan
2018-05-11,490000.0,110000.0,0.7755102040816326,490,230000.0,490,nan,nan
2018-06-14,2400000.0,78.0,0.9999675,9200000,1300.0,240000,nan,nan
2018-07-12,130000.0,70000.0,0.4615384615384616,68,790000.0,490,nan,nan
2018-08-09,170000.0,460.0,0.9972941176470588,45,490000.0,330,nan,nan
2018-09-13,16000000.0,9200.0,0.999425,110,490000.0,20,nan,nan
2018-10-11,780000.0,9200.0,0.9882051282051282,1.8,490000.0,20,nan,nan
2018-11-08,1100000.0,3500.0,0.9968181818181818,20,330000.0,130,nan,nan
2018-12-13,1600000.0,33000.0,0.979375,490,490000.0,1.8,nan,nan
2019-01-10,240000.0,16000.0,0.9333333333333332,16000,2300000.0,2400,nan,nan
2019-02-07,1600000.0,350000.0,0.78125,7090,50400000.0,210,nan,nan
2019-03-07,240000.0,540000.0,-1.25,200,540000.0,330,nan,nan
2019-04-11,13000.0,23000.0,0.9653846153846154,450,350000.0,170,nan,nan
2019-05-09,350000.0,23000.0,0.9342857142857144,110,9200000.0,490,nan,nan
2019-06-13,280000.0,240000.0,0.1428571428571429,68,35.0,34,nan,nan
2019-07-11,280000.0,240000.0,0.1428571428571429,19,35000000.0,340,nan,nan
2019-08-08,3500000.0,540000.0,0.8457142857142858,93,78000.0,1300,nan,nan
2019-09-12,170000.0,46000.0,0.7294117647058824,110,35000000.0,9200,nan,nan
2019-10-10,40000.0,350000.0,-7.75,33,3500000.0,210,nan,nan
2019-11-07,280000.0,3500.0,0.9875,490,490000.0,490,nan,nan
2019-12-12,280000.0,3500.0,0.9875,490,490000.0,490,nan,nan
